,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
sample_49,19.331,49.818999999999996,2846.1,25.76,51.138000000000005,3298.0,23.598000000000003,63.928000000000004,307.82,347.59,95.116,74.872,32.219,8.3004,27.523000000000003,7.0796,19.423,1.5741,33.179,13.068,25.614,1.3064,18.531
sample_50,19.331,51.244,2845.4,26.688000000000002,47.885,3297.2,22.744,64.057,311.21,347.61,95.279,74.242,32.219,8.3004,27.523000000000003,7.0796,19.423,1.5741,33.179,13.068,25.614,1.3064,18.531
sample_51,19.331,48.812,2840.1,25.924,47.521,3293.1,21.133000000000003,64.11,319.97,347.34,95.339,74.395,32.298,8.4384,27.016,7.1038,19.385,1.5894,33.69,13.094000000000001,25.889,1.1662,18.998
sample_52,19.331,52.056000000000004,2839.1,24.145,49.45399999999999,3290.2,23.063000000000002,64.187,324.82,346.98,95.478,74.58800000000001,32.298,8.4384,27.016,7.1038,19.385,1.5894,33.69,13.094000000000001,25.889,1.1662,18.998
sample_53,19.331,50.128,2839.7,26.388,50.373000000000005,3290.9,22.783,64.369,331.59,346.95,95.551,74.768,32.576,8.4318,27.394000000000002,6.9136,19.361,1.5713,32.878,13.16,25.644000000000002,1.1971,19.22
sample_54,19.331,51.027,2840.4,25.221,50.01,3291.6,22.736,64.605,339.4,346.51,95.42,74.62,32.576,8.4318,27.394000000000002,6.9136,19.361,1.5713,32.878,13.16,25.644000000000002,1.1971,19.22
sample_55,19.331,50.119,2836.5,24.169,51.151,3290.8,23.363000000000003,64.829,342.57,346.53,95.406,74.774,32.135,8.6425,27.444000000000003,6.903,19.445,1.5683,33.326,13.375,25.743000000000002,1.2648,18.738
sample_56,19.331,49.379,2834.6,25.174,51.327,3289.3,22.723000000000003,65.11399999999999,352.22,345.9,95.411,74.543,32.135,8.6425,27.444000000000003,6.903,19.445,1.5683,33.326,13.375,25.743000000000002,1.2648,18.738
sample_57,19.331,48.773999999999994,2830.0,24.535,49.097,3286.0,22.14,65.408,358.54,345.79,95.324,74.325,32.373000000000005,8.6087,27.365,6.7212,19.395,1.5971,32.88,13.373,25.468000000000004,1.5342,19.219
sample_58,19.331,50.898999999999994,2823.9,26.628,48.95,3281.6,22.331999999999997,65.653,365.94,345.18,95.417,74.475,32.373000000000005,8.6087,27.365,6.7212,19.395,1.5971,32.88,13.373,25.468000000000004,1.5342,19.219
sample_59,19.331,49.478,2820.5,26.736,50.688,3278.8,22.359,65.907,372.44,344.76,95.29799999999999,74.38,31.945999999999998,8.4724,27.018,6.7198,19.545,1.5832,32.657,13.287,25.721999999999998,1.4548,19.248
sample_60,19.331,51.122,2813.8,27.225,51.613,3273.8,23.427,66.214,379.69,343.91,95.259,73.98,31.945999999999998,8.4724,27.018,6.7198,19.545,1.5832,32.657,13.287,25.721999999999998,1.4548,19.248
sample_61,23.226,50.185,2809.1,28.26,48.952,3268.1,21.666999999999998,66.556,387.86,343.16,95.223,74.24,31.915,8.6621,27.124000000000002,6.9481,19.615,1.6380000000000001,32.605,13.084000000000001,25.388,1.2588,19.750999999999998
sample_62,23.226,50.885,2799.6,27.397,48.913999999999994,3263.2,21.785999999999998,66.83800000000001,395.1,342.85,95.291,73.90899999999999,31.915,8.6621,27.124000000000002,6.9481,19.615,1.6380000000000001,32.605,13.084000000000001,25.388,1.2588,19.750999999999998
sample_63,23.226,49.076,2796.5,26.338,48.44,3257.4,22.802,67.096,406.03,342.89,95.295,74.028,32.299,8.7038,27.316,7.0774,19.714000000000002,1.6633,32.295,13.549000000000001,24.63,1.173,19.202
sample_64,23.226,48.938,2796.1,25.809,50.698,3256.4,24.319000000000003,67.438,414.43,341.92,95.369,74.491,32.299,8.7038,27.316,7.0774,19.714000000000002,1.6633,32.295,13.549000000000001,24.63,1.173,19.202
sample_65,23.226,51.724,2791.1,27.22,50.891999999999996,3252.2,23.828000000000003,67.908,416.01,340.8,95.447,74.566,31.229,8.9721,26.631,7.1271,19.692999999999998,1.6525,32.663000000000004,13.66,25.52,1.3933,19.746
sample_66,23.226,51.306000000000004,2782.3,25.468000000000004,51.457,3249.1,23.281,68.342,428.3,340.46,95.54799999999999,74.17399999999999,31.229,8.9721,26.631,7.1271,19.692999999999998,1.6525,32.663000000000004,13.66,25.52,1.3933,19.746
sample_67,23.226,50.597,2776.9,27.103,49.766999999999996,3244.0,22.021,68.683,437.18,340.2,95.58,74.12899999999999,31.759,8.6375,26.105,7.0198,20.12,1.6585,32.191,13.54,24.711,1.2413,19.705
sample_68,23.226,48.763999999999996,2775.9,25.230999999999998,50.553000000000004,3242.4,23.3,68.898,439.8,339.92,95.711,74.57600000000001,31.759,8.6375,26.105,7.0198,20.12,1.6585,32.191,13.54,24.711,1.2413,19.705
sample_69,23.226,51.722,2773.7,26.392,48.86,3241.0,23.508000000000003,69.131,435.55,339.24,95.521,74.76100000000001,31.61,8.7941,26.89,6.9255,19.982,1.6506,32.171,13.588,24.645,1.34,20.322
sample_70,23.226,51.356,2769.4,27.87,48.787,3238.4,21.939,69.307,436.11,338.97,95.573,74.279,31.61,8.7941,26.89,6.9255,19.982,1.6506,32.171,13.588,24.645,1.34,20.322
sample_71,23.226,49.925,2763.2,26.314,49.031000000000006,3231.6,21.32,69.383,433.15,339.11,95.624,74.102,31.499000000000002,9.0261,26.2,6.7407,20.48,1.6944,32.153,13.595999999999998,24.38,1.3898,20.379
sample_72,23.226,49.748999999999995,2759.1,25.771,48.238,3229.1,22.961,69.33,435.06,338.3,95.478,74.292,31.499000000000002,9.0261,26.2,6.7407,20.48,1.6944,32.153,13.595999999999998,24.38,1.3898,20.379
sample_73,23.226,51.521,2757.6,26.096,49.325,3228.1,22.09,69.30199999999999,433.55,337.85,95.53399999999999,74.527,31.840999999999998,8.7707,26.19,6.8588,20.528000000000002,1.694,32.484,13.697000000000001,24.614,1.1963,19.887999999999998
sample_74,23.226,48.268,2751.7,27.016,50.738,3224.2,23.111,69.407,433.4,337.85,95.169,74.514,31.840999999999998,8.7707,26.19,6.8588,20.528000000000002,1.694,32.484,13.697000000000001,24.614,1.1963,19.887999999999998
sample_75,23.226,51.202,2745.5,27.383000000000003,50.056000000000004,3219.3,23.107,69.495,432.15,337.87,95.536,74.5,31.56,8.8266,26.338,6.8753,20.570999999999998,1.6987,32.161,13.98,23.730999999999998,1.2911,20.764
sample_76,22.159000000000002,50.566,2739.5,27.912,50.825,3212.9,22.331,69.5,433.07,337.89,95.38600000000001,74.453,31.56,8.8266,26.338,6.8753,20.570999999999998,1.6987,32.161,13.98,23.730999999999998,1.2911,20.764
sample_77,22.159000000000002,49.293,2734.4,27.041999999999998,49.523999999999994,3209.8,23.64,69.469,431.54,337.01,95.625,74.547,31.574,9.0096,26.389,6.7061,20.664,1.6622,32.159,13.93,23.836,1.1224,20.844
sample_78,22.159000000000002,50.548,2731.1,27.238000000000003,50.025,3206.4,22.664,69.47800000000001,431.89,336.51,95.45200000000001,74.693,31.574,9.0096,26.389,6.7061,20.664,1.6622,32.159,13.93,23.836,1.1224,20.844
sample_79,22.159000000000002,49.813,2733.0,25.607,49.548,3206.7,23.394000000000002,69.531,432.63,336.92,95.425,75.00399999999999,31.448,9.0773,25.552,6.9693,20.541999999999998,1.7434,31.815,14.127,24.18,1.1244,20.666999999999998
sample_80,22.159000000000002,51.701,2730.0,26.590999999999998,51.297,3204.8,22.5,69.611,431.56,336.61,95.32600000000001,74.773,31.448,9.0773,25.552,6.9693,20.541999999999998,1.7434,31.815,14.127,24.18,1.1244,20.666999999999998
sample_81,22.159000000000002,50.071000000000005,2727.9,28.381999999999998,50.332,3204.2,23.641,69.66199999999999,430.51,336.65,95.42299999999999,75.07600000000001,31.441,8.8325,25.863000000000003,6.9119,20.58,1.7553,32.211999999999996,13.958,23.752,1.0942,20.594
sample_82,22.159000000000002,49.168,2727.8,26.607,49.801,3204.0,23.764,69.706,429.33,336.81,95.324,75.09,31.441,8.8325,25.863000000000003,6.9119,20.58,1.7553,32.211999999999996,13.958,23.752,1.0942,20.594
sample_83,22.159000000000002,51.488,2726.9,27.186,51.385,3204.2,22.965999999999998,69.72399999999999,430.16,337.12,95.50299999999999,75.154,31.625999999999998,9.0772,25.909000000000002,6.702000000000001,20.572,1.7439,32.164,14.067,23.366,1.0716,20.671999999999997
sample_84,22.159000000000002,50.422,2730.7,24.906,49.905,3204.3,22.206,69.73,430.29,337.77,95.368,75.15,31.625999999999998,9.0772,25.909000000000002,6.702000000000001,20.572,1.7439,32.164,14.067,23.366,1.0716,20.671999999999997
sample_85,22.159000000000002,49.477,2730.6,25.622,49.115,3205.6,23.021,69.75399999999999,427.81,337.98,95.29299999999999,74.993,31.572,8.8682,25.733,6.6094,20.596999999999998,1.7905,31.816999999999997,13.995999999999999,23.096999999999998,1.1406,20.6
sample_86,22.159000000000002,49.875,2729.3,27.927,50.28,3205.4,22.203000000000003,69.727,429.09,338.28,95.015,74.792,31.572,8.8682,25.733,6.6094,20.596999999999998,1.7905,31.816999999999997,13.995999999999999,23.096999999999998,1.1406,20.6
sample_87,22.159000000000002,50.6,2729.0,26.028000000000002,47.025,3203.6,23.554000000000002,69.631,429.88,339.21,95.152,75.00399999999999,31.478,9.1054,25.516,6.7504,20.824,1.7536,32.519,14.033,23.112,0.98074,20.518
sample_88,22.159000000000002,51.765,2727.5,23.044,50.698,3203.8,22.73,69.6,429.87,339.28,94.833,75.221,31.478,9.1054,25.516,6.7504,20.824,1.7536,32.519,14.033,23.112,0.98074,20.518
sample_89,22.159000000000002,50.323,2730.8,25.581999999999997,51.871,3203.5,22.570999999999998,69.657,429.44,340.1,94.959,74.977,31.399,9.3896,25.93,6.7860000000000005,20.401,1.7429,32.516999999999996,14.062000000000001,22.846,1.0562,20.725
sample_90,22.159000000000002,49.82899999999999,2729.1,26.455,50.989,3202.7,24.061,69.643,428.72,340.94,94.759,74.86,31.399,9.3896,25.93,6.7860000000000005,20.401,1.7429,32.516999999999996,14.062000000000001,22.846,1.0562,20.725
sample_91,19.39,49.301,2730.3,26.541,49.576,3201.3,23.480999999999998,69.64,429.96,341.79,94.949,75.008,31.974,9.0523,25.5,6.781000000000001,20.076,1.7746,33.124,14.113,23.574,0.9206799999999999,20.619
sample_92,19.39,48.761,2729.1,27.665,50.375,3199.6,23.601,69.556,431.79,342.94,94.67,75.138,31.974,9.0523,25.5,6.781000000000001,20.076,1.7746,33.124,14.113,23.574,0.9206799999999999,20.619
sample_93,19.39,49.993,2732.5,25.361,49.655,3200.6,22.131,69.562,431.11,343.52,94.759,75.529,32.061,9.0723,25.46,6.7928,19.587,1.8092,33.05,13.999,23.164,1.0447,20.417
sample_94,19.39,49.875,2731.8,26.212,47.942,3201.1,22.37,69.641,430.78,344.24,94.59,75.546,32.061,9.0723,25.46,6.7928,19.587,1.8092,33.05,13.999,23.164,1.0447,20.417
sample_95,19.39,49.813,2730.7,25.254,50.831,3199.8,22.584,69.697,429.02,344.94,94.447,75.446,33.03,9.0545,25.651999999999997,6.653,19.625999999999998,1.7635,33.178000000000004,14.243,22.78,0.86741,20.197
sample_96,19.39,51.64,2730.3,25.351999999999997,49.864,3198.0,22.859,69.73,425.74,345.75,94.43799999999999,75.4,33.03,9.0545,25.651999999999997,6.653,19.625999999999998,1.7635,33.178000000000004,14.243,22.78,0.86741,20.197
sample_97,19.39,50.99,2725.8,25.76,49.383,3191.6,24.011999999999997,69.708,429.19,346.47,94.289,75.168,32.536,9.1309,25.756999999999998,6.7524,19.442999999999998,1.7757,33.208,14.122,22.962,0.7964399999999999,19.792
sample_98,19.39,50.478,2722.3,25.921999999999997,50.815,3187.1,23.254,69.707,428.1,347.09,94.27600000000001,75.525,32.536,9.1309,25.756999999999998,6.7524,19.442999999999998,1.7757,33.208,14.122,22.962,0.7964399999999999,19.792
sample_99,19.39,49.913999999999994,2719.5,25.135,48.745,3184.8,23.169,69.73100000000001,427.74,347.53,94.175,75.315,32.578,9.06,25.837,6.7106,19.203,1.7586,33.757,14.114,22.864,1.1339,19.287
sample_100,19.39,49.858999999999995,2717.2,26.176,48.535,3180.5,22.578000000000003,69.789,428.02,348.06,94.25200000000001,75.685,32.578,9.06,25.837,6.7106,19.203,1.7586,33.757,14.114,22.864,1.1339,19.287
sample_101,19.39,49.146,2714.8,28.56,51.424,3176.4,23.609,69.82600000000001,428.98,348.8,94.196,75.3,32.867,9.1151,26.278000000000002,6.7185,19.137,1.7508,33.802,14.427,22.909000000000002,0.8992,19.577
sample_102,19.39,50.615,2709.8,27.114,51.507,3172.9,23.375999999999998,69.816,426.66,349.14,93.939,75.34899999999999,32.867,9.1151,26.278000000000002,6.7185,19.137,1.7508,33.802,14.427,22.909000000000002,0.8992,19.577
sample_103,19.39,50.48,2708.6,24.085,50.019,3168.8,24.41,69.852,427.26,349.68,94.119,75.883,32.567,9.2219,25.93,6.7121,18.881,1.7988,33.64,14.295,23.023000000000003,1.1522,18.840999999999998
sample_104,19.39,50.758,2703.3,27.697,50.51,3166.1,23.576999999999998,69.955,425.47,349.52,93.87200000000001,75.71300000000001,32.567,9.2219,25.93,6.7121,18.881,1.7988,33.64,14.295,23.023000000000003,1.1522,18.840999999999998
sample_105,19.39,51.278,2703.2,25.128,50.128,3162.5,23.076,70.05,424.01,350.01,93.964,76.32,32.994,8.9893,25.897,6.8266,19.378,1.7480000000000002,34.449,14.399000000000001,23.148000000000003,1.0207,18.868
sample_106,19.967,50.06,2700.7,24.461,50.118,3160.0,23.044,70.158,422.52,350.46,93.706,75.832,32.994,8.9893,25.897,6.8266,19.378,1.7480000000000002,34.449,14.399000000000001,23.148000000000003,1.0207,18.868
sample_107,19.967,50.306999999999995,2691.7,26.666,50.18899999999999,3152.1,24.779,70.212,421.92,351.1,93.969,75.347,32.539,9.2871,26.412,6.6862,18.349,1.8344,34.491,14.343,23.052,1.0145,18.109
sample_108,19.967,49.783,2690.4,25.311999999999998,51.272,3146.1,23.325,70.182,422.28,351.92,93.881,76.024,32.539,9.2871,26.412,6.6862,18.349,1.8344,34.491,14.343,23.052,1.0145,18.109
sample_109,19.967,48.511,2689.9,25.884,49.843999999999994,3146.1,22.904,70.242,420.14,352.22,93.79,76.186,33.17,9.2771,26.169,6.8299,17.879,1.7971,34.089,14.547,23.29,1.0153,17.442
sample_110,19.967,49.159,2689.6,24.625999999999998,48.028999999999996,3145.9,23.706,70.39,418.5,352.36,93.719,76.58,33.17,9.2771,26.169,6.8299,17.879,1.7971,34.089,14.547,23.29,1.0153,17.442
sample_111,19.967,48.983999999999995,2682.5,25.676,51.45399999999999,3140.6,23.484,70.51100000000001,418.5,352.66,93.685,76.153,33.131,9.0581,26.029,6.7776,17.749000000000002,1.7935,34.522,14.491,23.397,0.99434,17.611
sample_112,19.967,50.141999999999996,2679.3,25.588,50.339,3134.7,22.526999999999997,70.569,416.74,353.27,93.854,75.92399999999999,33.131,9.0581,26.029,6.7776,17.749000000000002,1.7935,34.522,14.491,23.397,0.99434,17.611
sample_113,19.967,50.373999999999995,2675.2,25.947,49.83,3131.6,23.704,70.567,415.83,353.22,93.741,76.459,33.224000000000004,9.0958,26.487,6.8487,17.89,1.8027,34.615,14.449000000000002,23.585,1.0375,17.527
sample_114,19.967,49.115,2672.8,24.427,49.431000000000004,3129.4,24.13,70.626,415.35,353.76,93.774,76.555,33.224000000000004,9.0958,26.487,6.8487,17.89,1.8027,34.615,14.449000000000002,23.585,1.0375,17.527
sample_115,19.967,49.347,2669.6,26.91,49.08,3126.4,23.75,70.723,415.81,353.61,93.711,76.245,32.525999999999996,9.1391,26.430999999999997,6.6656,17.463,1.79,34.254,14.465,24.351999999999997,1.0336,16.93
sample_116,19.967,51.037,2668.8,26.129,49.552,3121.5,23.061999999999998,70.795,412.42,353.57,93.78,76.583,32.525999999999996,9.1391,26.430999999999997,6.6656,17.463,1.79,34.254,14.465,24.351999999999997,1.0336,16.93
sample_117,19.967,48.45,2667.6,26.064,50.716,3122.5,22.503,70.87100000000001,410.63,353.88,93.64399999999999,76.491,33.329,9.3036,26.235,6.8793,17.832,1.8338,34.603,14.569,23.912,1.2604,16.712
sample_118,19.967,50.256,2663.9,23.91,51.123000000000005,3120.8,23.743000000000002,70.918,412.91,354.03,93.59899999999999,76.764,33.329,9.3036,26.235,6.8793,17.832,1.8338,34.603,14.569,23.912,1.2604,16.712
