,SMILES,pIC50
sample_60,CC(NC(=O)C(S)Cc1ccccc1)C(=O)N1CCCC1C(=O)[O-],7.3
sample_61,CC([NH2+]C(CCCNC(=O)OCc1ccccc1)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],8.54
sample_62,CC1CCCC([NH2+]C(CCc2ccccc2)C(=O)[O-])C(=O)N1CC(=O)[O-],8.52
sample_63,CC([NH2+]C(CCC(=O)Nc1ccc(I)cc1)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],9.64
sample_64,CC([NH2+]C(CCc1ccccc1)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],8.92
sample_65,[NH3+]CCCCC([NH2+]C(CCc1ccccc1)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],8.92
sample_66,CC([NH2+]C(CCc1cccc2ccccc12)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],8.96
sample_67,CC([NH2+]C(CCc1ccc(O)cc1)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],8.55
sample_68,O=C([O-])C(CCc1ccccc1)[NH2+]C1CCCC2SCC(C(=O)[O-])N2C1=O,9.22
sample_69,O=C([O-])C1CC2(CN1C(=O)CP(=O)([O-])CCCCc1ccccc1)SCCS2,8.4
sample_70,O=C(NC(Cc1ccccc1)CP(=O)([O-])CC(=O)N1CCCC1C(=O)[O-])c1ccccc1,8
sample_71,CC([NH2+]C(C(=O)[O-])C(Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCCC1C(=O)[O-],8.11
sample_72,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)[O-])c1ccccc1,7.92
sample_73,CC(CC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCCC1C(=O)[O-],8.52
sample_74,CC([NH2+]C(C(=O)[O-])C1CCCN1C(=O)c1ccccc1)C(=O)N1CCCC1C(=O)[O-],8.54
sample_75,CC(NP(=O)([O-])CCc1ccccc1)C(=O)N1CCCC1C(=O)[O-],8.15
sample_76,O=C([O-])CNC(=O)CCS,5.55
sample_77,CC(NC(=O)CCS)C(=O)[O-],6.07
sample_78,CC(C)C(NC(=O)CCS)C(=O)[O-],5.8
sample_79,O=C(CCS)NC(Cc1ccccc1)C(=O)[O-],6.37
sample_80,O=C([O-])C1CCCN1C(=O)CCS,6.7
sample_81,O=C([O-])C1=CCCN1C(=O)CCS,6.19
sample_82,O=C([O-])CCNC(=O)CCS,2.7
sample_83,O=C([O-])CCC(=O)NCC(=O)[O-],2.7
sample_84,CC(NC(=O)CCC(=O)[O-])C(=O)[O-],2.87
sample_85,CN(C(=O)CCS)C(Cc1ccccc1)C(=O)[O-],4.51
sample_86,CN(CC(=O)[O-])C(=O)CCS,5.52
sample_87,CC(CS)C(=O)N1CCCC1C(=O)[O-],4.96
sample_88,O=C([O-])C1CCCN1C(=O)CCS,2.74
sample_89,CC(C)C(NC(=O)CCC(=O)[O-])C(=O)[O-],2.96
sample_90,CC(C)CC(NC(=O)CCC(=O)[O-])C(=O)[O-],3.21
sample_91,CCC(C)C(NC(=O)CCC(=O)[O-])C(=O)[O-],2.98
sample_92,O=C([O-])CCC(=O)NC(Cc1ccccc1)C(=O)[O-],3.26
sample_93,NCC(=O)N1CCCC1C(=O)[O-],3.35
sample_94,CC(N)C(=O)N1CCCC1C(=O)[O-],3.64
sample_95,CC(C)C(N)C(=O)N1CCCC1C(=O)[O-],3.38
sample_96,CCC(C)C(N)C(=O)N1CCCC1C(=O)[O-],3.89
sample_97,NCC(=O)NC(Cc1ccccc1)C(=O)[O-],3.22
sample_98,CC(N)C(=O)NC(Cc1ccccc1)C(=O)[O-],3.72
sample_99,CC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)[O-],4.28
sample_100,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)[O-],3.03
sample_101,CC(CS)C(=O)N1CCCC1,3.62
sample_102,CCOC(=O)C1CCCN1C(=O)CCS,4.77
sample_103,O=C([O-])CCCCCS,2.96
sample_104,O=C([O-])C1CCCN1CCCS,3.62
sample_105,O=C([O-])C1CCC(=O)N1CCCS,3.19
sample_106,O=C([O-])CCC(=O)CCS,5.62
sample_107,CC(C)(C)OC(=O)C1CCCN1C(=O)CCS,4.41
sample_108,O=C(CCS)OC(Cc1ccccc1)C(=O)[O-],6.15
sample_109,O=C([O-])CCC(=O)N1CCCC1C(=O)[O-],3.48
sample_110,CC(CC(=O)[O-])C(=O)N1CCCC1C(=O)[O-],4.99
sample_111,CC(CCC(=O)[O-])C(=O)N1CCCC1C(=O)[O-],5.31
sample_112,CC([NH2+]CC(=O)[O-])C(=O)N1CCCC1C(=O)[O-],5.62
sample_113,O=C([O-])C1CCCN1C(=O)CP(=O)([O-])[O-],5.08
sample_114,O=C([O-])C1CCCN1C(=O)CCP(=O)([O-])[O-],4.32
