,SMILES
sample_94,Cc1cc(N2C(=O)CCC2CCC2=C(C(N)=O)CCCC2)n2nc(N)c(N=Nc3cccc4ccccc34)c2n1
sample_95,CC1=NNC(=O)C1=NNc1ccccc1NC(C(=O)O)C(COc1ccc(Cl)cc1Cl)Nc1cccc2ccccc12
sample_96,Cc1ccc(S(O)(O)N(C)C2CC3(CN2OC(=S)N(C)C)SCCS3)cc1
sample_97,CN1CCN(COc2c(C#N)c(N)nc3c(N=Nc4ccc(F)cc4)c(N)nn23)CC1
sample_98,Cc1ccc(C=NC2=NC(C(NOC3Cc4ccccc43)C(=O)O)N=N2)cc1
sample_99,Cc1ccc2c(c1NC(=O)C(C)NC1C=CC3C4C=CC(C4)C13)C(=O)c1ccccc1C2=O
sample_100,CC(=O)NC(=O)CP(=O)(O)CC(CCn1nc(C)c(C#N)c1N)NC1CC(=O)c2c3c(c4ccccc4c2O1)OC1CC(=O)OC31
sample_101,Cc1cc(C)cc(OC(Cc2ccccc2NN=C(C#N)c2nc3ccccc3n2C)C(=O)O)c1
sample_102,O=C(O)C(Cc1ccncc1)C(Cn1cncn1)Nc1ccc(N2N=N2)cc1
sample_103,Cc1nnc(C(=O)C(C)C(=O)C(C)(C)C2=CCC3(C)C(CCC4C5CCC(O)C5(C)CCC43)C2)s1
sample_104,CC12CCCC1C1CCC3CC(OC(=O)CCC(NC4CCC5(C)C(CCC6C7CC=C(C#Cc8ccccc8)C7(C)CCC65)C4)C(=O)O)CCC3(C)C1CC2
sample_105,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(ON3CCCC3c3cc4c(cc3S(N)(O)O)S(O)(O)NCN4)CCC12
sample_106,Cc1cc2cc(N(C)c3nc4ccccc4nc(=O)c3NNc3ccc4ccccc4c3)ccc2cn1
sample_107,CC1=NC(C)CNc2c1c(=O)n(OP(=O)(O)CCCCc1ccc3c(c1)CCCC3)c1ccccc21
sample_108,O=C1C(Nn2c(=S)oc3ccccc32)CCCC2SCC(c3cc(Cl)c(Cl)c(Cl)c3Cl)N12
sample_109,C=Cc1ccccc1N1CC(O)CC1N1C(=O)CSC1=S
sample_110,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NCC(NNC(CO)C(N)=O)C(=O)CC(C)C(=O)Oc1cccc(C)c1C
sample_111,CC(ONC(CC1Cc2ccccc2N1)C(=O)Nc1ccnc2cc(Cl)ccc12)C(=O)O
sample_112,CC1(C)C(=O)OC2=C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)C1N(CC#N)c1ccc2c(c1)OCO2
sample_113,Cc1nnc(NC(CCCNCc2cc3ccccc3oc2=O)C(=O)O)c2noc(C)c12
sample_114,CC12CCC(O)CC1CCC1C2CCC2(C)C(CC(Nc3nc4ccccc4c(=O)o3)C(C(=O)O)c3cc(Cl)c(Cl)cc3Cl)CCC12
sample_115,Cc1ccc(OCC(S)C(=O)NS(O)(O)c2ccc(C)cc2)cc1
sample_116,Cc1nn(COP(=O)(O)CCCCc2csc(C(C#N)=NNc3ccc(Cl)cc3Cl)n2)c(N)c1C#N
sample_117,Cc1nn(NC2CCCC3SCC(CC(=NO)c4ccccc4)N3C2=O)c(N)c1C#N
sample_118,Nn1cnc2c(c(Br)nn2C(=O)CCC(=O)C(CC2N=c3ccccc3=N2)NN2CC(=O)N3CCc4ccccc4C3C2)c1=O
sample_119,CCC(C)N=C(C)c1c(O)c2ccccc2n(CCC(Nc2cccnc2)C(=O)O)c1=O
sample_120,CC1=C(C(=O)C(=O)C(C)NP(=O)(O)CCc2cc(Br)ccc2O)Cc2ccccc21
sample_121,CC1=C(C(=O)C2CC3(CN2NS(=O)(=O)C(F)(F)F)SCCS3)C(C)NC(=O)N1
sample_122,Cc1sc2ccccc2c1NC1CCCC(C)N(OC2C(=O)NC3=C(C2=O)C(c2ccc(Br)cc2)c2c(c4ccccc4oc2=O)O3)C1=O
sample_123,O=C1CC(CC(F)(F)F)C(=O)N2C(c3cc4ccccc4oc3=S)CCCN12
sample_124,Nc1sc2c(c1N(NC1CCCCCCC1)C1CCCCC1)CCCC2
sample_125,O=C(O)C(Br)NC(CCc1cccc(Cl)c1)C(=O)O
sample_126,CC12CCC3C(CCC45OC4C(=O)C=CC35O)C1CCC2OCCC(Nc1oc2c(c3c(c4ccccc42)OC2CC(=O)OC32)c(=O)c1[Si](C)(C)C)C(=O)O
sample_127,Cc1ccccc1NC1CC(C2CCC3C4CCC5CCCCC5(C)C4CC(O)C23C)CN1CC(=O)CC(C)(C)C
sample_128,CC(N)C(=O)C1(C2N(C)c3ccccc3C2(C)C)CC(Nc2ccc(F)cc2)N(OC2CCC3(C)C4CCC5=C(CCC5(C)C#CCl)C4CCC3(C)C2)C1
sample_129,C=CONC(CC1(C)CCCC23COC4CC5C(C)C(=O)C6(C(CC12)OC(C)(C)OC56)C43)C(=O)C1(Br)C(=O)C2(C)CCC1C2(C)C
sample_130,Cc1nn(CC(NC2C(C#N)=C(N)OC3=C2CCCC3)C(=O)Cc2ccc3c(c2)OCO3)c(N)c1C#N
sample_131,Nc1cc(Br)ccc1CCC(NC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O)C(=O)O
sample_132,Nc1ccc(OC2CC3CCCCC3N2Oc2ccc(Cl)cc2O)cc1
sample_133,CC(=O)C(=NNc1ccc(C2SCC(c3nnc4n3NCS4)N2c2cc(C)ccc2C)cc1)C(C)=O
sample_134,Cc1cc2cc(CC(C(=O)O)c3ccc(Br)cc3N)ccc2cn1
sample_135,CC12CCCCC1CCC1C2CC(=O)C2(C)C(NC(CCC(=O)c3cc4ccccc4oc3=S)C(=O)O)CCC12
sample_136,Cn1c2c(c3ccccc31)C(=O)C(NC(CN1N=C(c3ccc(N)cc3)CC1=O)C(=O)C1CCC3C4CC(Cl)C5(O)CC(=O)CCC5(C)C4CCC13C)CC2
sample_137,Cc1ccc(C)c(C(C(=O)O)C(CNC(N)=S)NOc2ccc(O)cc2)c1
sample_138,Cc1cc(Cl)ccc1NC(CCC1Cc2ccccc2C(=O)O1)C(NC(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(=O)O
sample_139,CC1(c2nc3ccccc3nc(=O)c2NNc2ccc(Cl)cc2)C(=O)N2CCCC(C3(N)CC3)N2C1=O
sample_140,CC12CCC(Cl)CC1=CCC1C2CCC2(C)C1CCC2C1(C)C(=O)N2CCCC(c3ccc(I)cc3)N2C1=O
sample_141,CC(=O)N1N=C(c2ccc3ccccc3c2)CC1CC(Nc1nc2ccccc2nc(=O)c1NNc1ccc2ccccc2c1)C(=O)N1CCCC1
sample_142,CCC1NCCc2cc(O)c(N(c3c(Cl)cccc3Cl)C3CCCCC3)cc21
sample_143,CCCCCCCCCCC1CC(c2cccc(S(O)(O)N(C)C)c2)N(c2cn3ccccc3n2)C1
sample_144,Cc1ccc(S(O)(O)NN=C2C=CC(C)(N3CC(O)CC3C3CCC4C5CC=C6CC7(CCC6(C)C5CCC43C)OCCO7)CC2)cc1
sample_145,O=CC(O)N1CC(CCCCCCCCC(=O)O)(C2(C3=CC4CCC(C3)C4)C(=O)NC(=O)NC2=O)CC1Nc1ccccc1Br
sample_146,C=CC1CN2CCC1CC2C(=O)C(C)c1cccc(S(O)(O)O)c1
sample_147,CC(CCC1SCC(NC(C)C)N1Nc1ccc(O)cc1)=NNC(N)=O
sample_148,CCCOC1CC(SC2(C)C=CC=CC=C2)CN1C1C=C(c2ccccc2)OC(c2ccccc2)=C1
sample_149,CC1(NC(COCCCBr)C(=O)CCC(=O)c2nccs2)Cc2ccccc2C(=O)O1
sample_150,CC(=O)C(=NNc1ccc(N(c2ccc3c(c2)OCO3)C(O)C(C)C)cc1)C(C)=O
sample_151,Cc1ccc2c(c1)C(C)(C)C(NC(CCC(=O)Oc1ccc(N)cc1)C(=O)O)N2C
sample_152,Cc1c2c(c(NCCCC(Nc3cc4c(cc3O)CCNC4)C(=O)O)c3c1C(=O)C3)CC2=O
sample_153,CC1=C(C=NNC(N)=O)C(=O)C(CCP(=O)(O)NC(C)C(=O)C2C(=O)CC(C)(C)CC2=O)C=C1
sample_154,CC12CCCCC1C(O)C(O)C1C2CCC2(C)C1CCC2C1CCCN2C(=O)CC(c3c(Cl)cccc3Cl)C(=O)N12
sample_155,Cc1cc(C)c(NCCCCP(=O)(O)OC2C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C4C(=O)c5c(O)cccc5C(C)(O)C4CC23)c(C)c1
sample_156,Cc1cccc(ON2c3ccccc3CC2C2CCCC2)c1
sample_157,CC(=Nn1c(S)nnc1N(c1ccc2c(c1)OCO2)n1nc(Br)c2c(=O)n(N)cnc21)c1ccc(C)cc1
sample_158,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NC(=O)CP(=O)(O)CCCCCc1cc2ccccc2oc1=O
sample_159,CCCC(O)C(O)(CC)C(=O)Nc1ccc(N=Nc2ccc(N)cc2)cc1
sample_160,CC(C)COC(=O)C(Cc1ccccc1N=Cc1ccccc1)NC(=O)C(=NNc1ccccc1)C(=O)C(F)(F)F
sample_161,Cc1cc(N(c2ccc3c(c2)OCO3)C2(O)CCC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC32C)n2nc(N)c(N=Nc3cc(Cl)ccc3Cl)c2n1
sample_162,CC1=c2ccccc2=NC1NC(Cc1cc(Cl)c(Cl)cc1O)C(=O)CC(C)C(=O)c1ccc(I)cc1
sample_163,Cn1c(NC2CCCC3SCC(C(=O)C(F)(F)F)N3C2=O)nc2ccccc21
sample_164,CC12CCC3C(CCC4CC(C(CCCCCP(=O)(O)ONc5ccnc6cc(Cl)ccc56)C(=O)O)=CCC43C)C1CCC2O
sample_165,CC(=Nc1c(O)ccc2ccccc12)c1c(O)c2ccccc2n(CC(NC2CCC3C4CC(Cl)C5(O)CC(=O)CCC5(C)C4CCC23C)C(NNc2cccnc2)C(=O)O)c1=O
sample_166,Cc1cc2c(c(N3C(c4nc5ccccc5nc(=O)c4NNc4cccnc4)CC4CCCCC43)c1)C(=O)C2
sample_167,CN(C)C=Nc1cccc(OCC(S)C(=O)c2ccc3c4c(cccc24)CC3)c1
sample_168,NCCCCC(NC(Br)C(Br)N(O)c1ccccc1)C(=O)CC(O)=NNC(N)=O
sample_169,CC(=O)N(Nc1ccccc1)c1ccc(NN2C(Cc3cccc(O)c3)SCC2c2ccc(C(Cl)=NO)cc2)cc1
sample_170,O=C(Nc1ccc(O)cc1)C12ON1c1ccccc1C2=O
sample_171,CCC(C)COC(=O)C(Cc1c(N)sc2c1CCCC2)NN1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
sample_172,CC(=O)C(C(C)=O)=C1SC2=C(C(=O)c3ccccc3C2=O)N1CCC(C(=O)O)C1CCC2C3C(=O)CC4CCCCC4(C)C3CCC12C
sample_173,Cc1cccc(NN=C(C#N)c2nc(C(=O)C(CCCCN)NN3c4ccccc4C=Cc4ccccc43)cs2)c1C
sample_174,C=C(Cl)CN(c1ccc2c(c1)OCO2)c1cc(Cl)c(Cl)c(Cl)c1Cl
sample_175,CC(=O)N(Nc1ccccc1)c1ccc(C(=O)CP(=O)(O)CCCCC2(C)CCC(C)C2(C)C)cc1
sample_176,N#CC(=NNc1ccccc1)c1nc(CCCCP(=O)(O)CC(=O)N2NC(=O)CC2=O)cs1
sample_177,CCCCCCCCCC(=O)C(COC1CC2C3CCC4CCCCC4(C)C3CCC2(C)C1)NC(C)CN1C(=O)c2cccnc2Nc2ccccc21
sample_178,Cc1ccccc1NC1CSC(Cc2ccccc2O)N1C1NC(=O)C1(C)C
sample_179,CCCCCCCCCCCC(=O)C(CCCCN)C(=O)N1CCC=C1C(=O)O
sample_180,CC12C=CC=CC1NC(C1SCC(c3cc(I)ccc3O)N1C1CCC3C4C(=O)CC5CCCCC5(C)C4CC(=O)C31C)C=C2
sample_181,C=CCC1=C(ONC2CCCC3SCC(c4ccccc4C=C)N3C2=O)C2=CC=C3C(C)=C(C)C(=O)CC3(C)C2=C(O)C1=O
sample_182,Brc1ccc(NC2CC3CCCCC3N2N2CC=CC2)c(Br)c1
sample_183,CC12CCC(O)CC1CCC1C2CCC2(C)C(ONC(CCCCN)C(=O)Cc3coc4ccc(Br)cc4c3=O)CCC12
sample_184,Cc1ccc(S(=O)(=O)NC(CCCCN)C(=O)Oc2ccc(Cl)cc2O)cc1
sample_185,N#CC(=NNc1ccc(Cl)cc1)c1nc(CC(Nc2csc(C(C#N)=NNc3ccc(F)cc3)n2)C(C(=O)O)C(=O)NNc2ccccc2)cs1
sample_186,NCCCCC(NC(Br)N(O)c1ccccc1)C(=O)OCC(=O)n1c(=O)sc2ccccc21
sample_187,Nc1ccc(S(=O)(=O)OCOc2cccc3c2CC(O)C(O)C3)cc1
sample_188,Cc1nc(NC(CCCNc2cc(Br)cc(Br)c2N)C(=O)O)oc1C
sample_189,Cc1cc(C2CSC(NC(=N)N)N2c2ccccc2C#N)n2nc(N)c(N=Nc3cccc4ccccc34)c2n1
sample_190,O=Cc1ccc(NCC(Oc2cc(Cl)c(Cl)cc2O)C(=O)O)cc1
sample_191,Cc1nc(C(C#N)=NNc2cccc(C(=O)C(C)NC(=O)CCBr)c2)sc1N=Nc1ccc(F)cc1
sample_192,Cc1nc(C(CCCCN)C(=O)CCC#N)sc1N=Nc1c(Cl)cc(Cl)cc1Cl
sample_193,CCCCC1=NC2(CCCC2)C(=O)N1CCC(NCCCO)C(=O)CCC(=O)C(=O)C(C#N)=C(SC)SC
sample_194,CC(C)CC1c2cc(O)c(CC(OC3CCC4C5C(O)CC6CC(O)CCC6(C)C5CCC34C)C(=O)O)cc2CCN1C
sample_195,NCCCCC(Nc1nnc2n1N=C(c1ccccc1)CS2)C(=O)c1ccccc1N=NC1SC(=S)NC1=O
sample_196,CN1CCn2c3c(c4cc(NC(Cc5cccc(N)c5)C(=O)O)ccc42)CCN=C31
sample_197,Cc1ccc2c(c1)N1C(=O)C(N3C(Cc4cc5ccccc5oc4=O)CC4CCCCC43)C(=O)N1C(N(C)C)=N2
sample_198,Cn1c(C2CC(=O)N3CCCC(c4c(Cl)ccc(Cl)c4Cl)N3C2=O)nc2ccccc21
sample_199,CC12CCC(O)C=C1CCC1C2CCC2(C)C1CCC2N1CC(CNCC(=O)O)CC1C1CCC2C3CCC4CC(=O)CCC4(C)C3CC(O)C21C
sample_200,Cc1cccc(NN=C(C#N)c2nc(C(CCC(=O)C3(O)C(C)CC4C5CCC6=CC(=O)C=CC6(C)C5(F)C(O)CC43C)C(=O)O)cs2)c1
sample_201,CC(=NN=C1C(=O)Nc2ccccc21)c1c(O)c2ccccc2n(C(=O)C(Cc2c(C#N)c(N)nc3c(N=Nc4ccc(F)cc4)c(N)nn23)Nc2c(Cl)cc(Cl)c(Cl)c2Cl)c1=O
sample_202,CCCCCCCN1CC(c2cccc(NN=C(C#N)c3nc(C)c(N=Nc4ccc(F)cc4)s3)c2)(c2cc(C)nc(C)n2)CC1C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC21C
sample_203,O=C(O)C(CCCNNc1cc(=O)oc2ccccc12)c1ncc2nccnc2n1
sample_204,Cc1cc(C)c2cnn(C(C)C(=O)OC3CCC4(C)C(C3)CC3(OCCO3)C3C4CCC4(C)C3CCC43OCCO3)c2n1
sample_205,Cc1cc2c(cc1C1CCC(=O)N1c1nnc(S)n1N=Cc1ccccc1)CC2C(=O)O
