,y,x1,x2,x3,x4,x5,x6,x7
sample_95,0.344,0.23,0.691,0.603,0.44299999999999995,0.41700000000000004,0.7170000000000001,0.69
sample_96,0.344,0.243,0.6990000000000001,0.604,0.45399999999999996,0.434,0.685,0.6779999999999999
sample_97,0.344,0.256,0.682,0.603,0.465,0.45,0.6759999999999999,0.665
sample_98,0.344,0.26899999999999996,0.69,0.598,0.47600000000000003,0.467,0.6920000000000001,0.662
sample_99,0.344,0.282,0.6659999999999999,0.598,0.504,0.483,0.71,0.705
sample_100,0.344,0.295,0.66,0.436,0.541,0.512,0.706,0.71
sample_101,0.593,0.307,0.674,0.49700000000000005,0.578,0.589,0.8059999999999999,0.802
sample_102,0.593,0.32,0.6659999999999999,0.511,0.616,0.659,0.83,0.83
sample_103,0.593,0.33299999999999996,0.695,0.5,0.653,0.727,0.8759999999999999,0.873
sample_104,0.593,0.38299999999999995,0.698,0.503,0.69,0.795,0.86,0.871
sample_105,0.593,0.418,0.6940000000000001,0.575,0.71,0.8370000000000001,0.894,0.883
sample_106,0.593,0.418,0.654,0.58,0.711,0.856,0.892,0.922
sample_107,0.593,0.41700000000000004,0.687,0.569,0.711,0.875,0.9109999999999999,0.912
sample_108,0.593,0.41600000000000004,0.687,0.575,0.7120000000000001,0.895,0.966,0.9620000000000001
sample_109,0.593,0.415,0.652,0.5710000000000001,0.713,0.915,0.9390000000000001,0.9329999999999999
sample_110,0.593,0.415,0.6509999999999999,0.575,0.7140000000000001,0.9359999999999999,0.8959999999999999,0.9109999999999999
sample_111,0.607,0.38799999999999996,0.667,0.573,0.715,0.909,0.8440000000000001,0.851
sample_112,0.607,0.34600000000000003,0.665,0.58,0.624,0.862,0.76,0.782
sample_113,0.607,0.305,0.657,0.5760000000000001,0.511,0.809,0.727,0.737
sample_114,0.607,0.26899999999999996,0.715,0.58,0.397,0.758,0.722,0.732
sample_115,0.607,0.272,0.713,0.579,0.358,0.736,0.7340000000000001,0.754
sample_116,0.607,0.27399999999999997,0.664,0.574,0.361,0.713,0.733,0.742
sample_117,0.607,0.27699999999999997,0.69,0.574,0.364,0.6970000000000001,0.77,0.778
sample_118,0.607,0.27899999999999997,0.669,0.5820000000000001,0.379,0.703,0.7929999999999999,0.7659999999999999
sample_119,0.607,0.282,0.66,0.556,0.42100000000000004,0.71,0.787,0.7859999999999999
sample_120,0.607,0.285,0.696,0.5489999999999999,0.462,0.7170000000000001,0.782,0.797
sample_121,0.26899999999999996,0.287,0.684,0.5710000000000001,0.504,0.7240000000000001,0.8140000000000001,0.809
sample_122,0.26899999999999996,0.29,0.662,0.581,0.546,0.731,0.8079999999999999,0.8029999999999999
sample_123,0.26899999999999996,0.292,0.664,0.5760000000000001,0.563,0.738,0.804,0.7979999999999999
sample_124,0.26899999999999996,0.295,0.688,0.578,0.5529999999999999,0.7390000000000001,0.754,0.777
sample_125,0.26899999999999996,0.297,0.67,0.584,0.5429999999999999,0.7190000000000001,0.73,0.74
sample_126,0.26899999999999996,0.3,0.6579999999999999,0.579,0.5329999999999999,0.669,0.706,0.7040000000000001
sample_127,0.26899999999999996,0.302,0.698,0.575,0.523,0.6709999999999999,0.759,0.753
sample_128,0.26899999999999996,0.305,0.665,0.5720000000000001,0.512,0.68,0.7559999999999999,0.742
sample_129,0.26899999999999996,0.307,0.652,0.575,0.528,0.69,0.7909999999999999,0.775
sample_130,0.26899999999999996,0.31,0.6709999999999999,0.581,0.5329999999999999,0.7,0.7979999999999999,0.7829999999999999
sample_131,0.258,0.312,0.662,0.599,0.47,0.7090000000000001,0.775,0.775
sample_132,0.258,0.27,0.6809999999999999,0.598,0.462,0.7190000000000001,0.805,0.7859999999999999
sample_133,0.258,0.275,0.6729999999999999,0.606,0.467,0.728,0.777,0.792
sample_134,0.258,0.276,0.6809999999999999,0.585,0.473,0.738,0.775,0.784
sample_135,0.258,0.275,0.675,0.6,0.478,0.736,0.772,0.768
sample_136,0.258,0.27399999999999997,0.679,0.6,0.483,0.725,0.7559999999999999,0.778
sample_137,0.258,0.273,0.677,0.602,0.488,0.713,0.757,0.755
sample_138,0.258,0.272,0.669,0.607,0.493,0.706,0.772,0.758
sample_139,0.258,0.271,0.6579999999999999,0.601,0.498,0.7070000000000001,0.758,0.741
sample_140,0.258,0.27,0.687,0.597,0.503,0.708,0.7559999999999999,0.767
sample_141,0.301,0.27,0.6579999999999999,0.599,0.509,0.713,0.787,0.778
sample_142,0.301,0.28,0.68,0.602,0.517,0.727,0.767,0.772
sample_143,0.301,0.302,0.687,0.606,0.528,0.741,0.8079999999999999,0.8059999999999999
sample_144,0.301,0.315,0.657,0.597,0.54,0.755,0.8340000000000001,0.818
sample_145,0.301,0.285,0.6559999999999999,0.602,0.551,0.762,0.802,0.809
sample_146,0.301,0.304,0.659,0.611,0.5579999999999999,0.741,0.7659999999999999,0.784
sample_147,0.301,0.278,0.6629999999999999,0.64,0.54,0.72,0.758,0.77
sample_148,0.301,0.28,0.66,0.615,0.521,0.7040000000000001,0.711,0.754
sample_149,0.301,0.282,0.654,0.546,0.502,0.708,0.723,0.748
sample_150,0.301,0.284,0.652,0.534,0.484,0.713,0.7909999999999999,0.778
sample_151,0.278,0.28600000000000003,0.684,0.528,0.465,0.718,0.8009999999999999,0.816
sample_152,0.278,0.28800000000000003,0.6509999999999999,0.544,0.446,0.722,0.797,0.784
sample_153,0.278,0.29,0.6729999999999999,0.5589999999999999,0.428,0.726,0.794,0.787
sample_154,0.278,0.292,0.6579999999999999,0.535,0.409,0.71,0.759,0.774
sample_155,0.278,0.294,0.6920000000000001,0.562,0.391,0.7120000000000001,0.758,0.7759999999999999
sample_156,0.278,0.29600000000000004,0.654,0.49200000000000005,0.37200000000000005,0.705,0.78,0.76
sample_157,0.278,0.298,0.675,0.431,0.353,0.698,0.73,0.725
sample_158,0.278,0.3,0.643,0.368,0.34600000000000003,0.6940000000000001,0.753,0.723
sample_159,0.278,0.3,0.653,0.266,0.353,0.696,0.7090000000000001,0.728
sample_160,0.278,0.29600000000000004,0.664,0.26,0.359,0.728,0.747,0.77
sample_161,0.23199999999999998,0.29100000000000004,0.6920000000000001,0.23800000000000002,0.365,0.7340000000000001,0.745,0.77
sample_162,0.23199999999999998,0.287,0.669,0.272,0.371,0.74,0.748,0.746
sample_163,0.23199999999999998,0.28300000000000003,0.695,0.32799999999999996,0.37799999999999995,0.741,0.745,0.753
sample_164,0.23199999999999998,0.27899999999999997,0.6809999999999999,0.36200000000000004,0.384,0.7340000000000001,0.7490000000000001,0.768
sample_165,0.23199999999999998,0.27399999999999997,0.6629999999999999,0.365,0.39,0.727,0.7190000000000001,0.7140000000000001
sample_166,0.23199999999999998,0.27,0.674,0.387,0.397,0.718,0.7140000000000001,0.727
sample_167,0.23199999999999998,0.266,0.684,0.342,0.40299999999999997,0.723,0.7390000000000001,0.74
sample_168,0.23199999999999998,0.262,0.648,0.395,0.409,0.73,0.7390000000000001,0.753
sample_169,0.23199999999999998,0.257,0.675,0.38799999999999996,0.415,0.718,0.747,0.733
sample_170,0.23199999999999998,0.253,0.657,0.358,0.42200000000000004,0.708,0.72,0.7070000000000001
sample_171,0.28800000000000003,0.249,0.664,0.354,0.428,0.7020000000000001,0.732,0.732
sample_172,0.28800000000000003,0.245,0.665,0.321,0.434,0.695,0.7290000000000001,0.746
sample_173,0.28800000000000003,0.24,0.6759999999999999,0.251,0.441,0.693,0.735,0.7170000000000001
sample_174,0.28800000000000003,0.23800000000000002,0.69,0.23800000000000002,0.447,0.6990000000000001,0.7240000000000001,0.752
sample_175,0.28800000000000003,0.247,0.652,0.182,0.45299999999999996,0.705,0.733,0.7559999999999999
sample_176,0.28800000000000003,0.256,0.672,0.192,0.45899999999999996,0.7090000000000001,0.721,0.7659999999999999
sample_177,0.28800000000000003,0.265,0.662,0.14300000000000002,0.466,0.71,0.755,0.755
sample_178,0.28800000000000003,0.275,0.682,0.152,0.47200000000000003,0.723,0.74,0.7490000000000001
sample_179,0.28800000000000003,0.284,0.6659999999999999,0.149,0.478,0.723,0.773,0.759
sample_180,0.28800000000000003,0.293,0.665,0.158,0.48100000000000004,0.7240000000000001,0.763,0.7809999999999999
sample_181,0.228,0.29,0.685,0.159,0.483,0.722,0.763,0.773
sample_182,0.228,0.28600000000000003,0.6809999999999999,0.184,0.484,0.72,0.742,0.78
sample_183,0.228,0.282,0.685,0.2,0.486,0.7170000000000001,0.7490000000000001,0.77
sample_184,0.228,0.278,0.6659999999999999,0.184,0.48700000000000004,0.715,0.737,0.745
sample_185,0.228,0.27399999999999997,0.662,0.14800000000000002,0.489,0.713,0.7290000000000001,0.7190000000000001
sample_186,0.228,0.27,0.6759999999999999,0.14300000000000002,0.49,0.71,0.7340000000000001,0.7240000000000001
sample_187,0.228,0.272,0.698,0.121,0.49200000000000005,0.708,0.737,0.755
sample_188,0.228,0.27699999999999997,0.654,0.12300000000000001,0.493,0.706,0.7709999999999999,0.777
sample_189,0.228,0.282,0.665,0.142,0.494,0.71,0.7709999999999999,0.773
sample_190,0.228,0.28600000000000003,0.6729999999999999,0.139,0.496,0.711,0.732,0.746
sample_191,0.32,0.29100000000000004,0.6940000000000001,0.126,0.49700000000000005,0.713,0.738,0.764
sample_192,0.32,0.29600000000000004,0.6859999999999999,0.128,0.499,0.7140000000000001,0.726,0.7509999999999999
sample_193,0.32,0.301,0.691,0.127,0.502,0.716,0.742,0.76
sample_194,0.32,0.305,0.687,0.168,0.514,0.7190000000000001,0.777,0.787
sample_195,0.32,0.31,0.653,0.18899999999999997,0.526,0.731,0.774,0.763
sample_196,0.32,0.315,0.66,0.254,0.5379999999999999,0.742,0.763,0.7559999999999999
sample_197,0.32,0.32,0.693,0.253,0.5489999999999999,0.728,0.7290000000000001,0.7290000000000001
sample_198,0.32,0.213,0.6629999999999999,0.23199999999999998,0.561,0.7140000000000001,0.753,0.737
sample_199,0.32,0.222,0.672,0.22399999999999998,0.573,0.7090000000000001,0.7140000000000001,0.71
sample_200,0.32,0.23,0.68,0.16399999999999998,0.585,0.71,0.7090000000000001,0.706
sample_201,0.44299999999999995,0.237,0.6559999999999999,0.133,0.597,0.7120000000000001,0.7340000000000001,0.7040000000000001
sample_202,0.44299999999999995,0.237,0.6659999999999999,0.122,0.609,0.7140000000000001,0.7340000000000001,0.73
sample_203,0.44299999999999995,0.23800000000000002,0.654,0.136,0.621,0.715,0.737,0.745
sample_204,0.44299999999999995,0.23800000000000002,0.6729999999999999,0.155,0.613,0.7170000000000001,0.735,0.746
sample_205,0.44299999999999995,0.239,0.6920000000000001,0.141,0.605,0.718,0.743,0.7509999999999999
sample_206,0.44299999999999995,0.239,0.6459999999999999,0.16899999999999998,0.596,0.72,0.7190000000000001,0.755
sample_207,0.44299999999999995,0.24,0.6970000000000001,0.17600000000000002,0.588,0.721,0.73,0.747
sample_208,0.44299999999999995,0.24,0.677,0.18100000000000002,0.579,0.722,0.741,0.754
sample_209,0.44299999999999995,0.24100000000000002,0.655,0.242,0.57,0.723,0.763,0.773
sample_210,0.44299999999999995,0.24100000000000002,0.695,0.271,0.562,0.7240000000000001,0.738,0.774
sample_211,0.278,0.242,0.657,0.303,0.5529999999999999,0.725,0.7929999999999999,0.765
sample_212,0.278,0.242,0.69,0.36,0.545,0.725,0.792,0.799
sample_213,0.278,0.243,0.677,0.35700000000000004,0.536,0.725,0.759,0.773
sample_214,0.278,0.243,0.6629999999999999,0.39799999999999996,0.527,0.722,0.787,0.7829999999999999
sample_215,0.278,0.244,0.691,0.39399999999999996,0.519,0.716,0.7490000000000001,0.7390000000000001
sample_216,0.278,0.244,0.66,0.37799999999999995,0.51,0.7040000000000001,0.7290000000000001,0.732
sample_217,0.278,0.244,0.653,0.332,0.502,0.6940000000000001,0.733,0.75
sample_218,0.278,0.248,0.659,0.242,0.493,0.685,0.746,0.74
sample_219,0.278,0.256,0.684,0.253,0.485,0.713,0.7659999999999999,0.764
sample_220,0.278,0.264,0.659,0.25,0.47600000000000003,0.718,0.759,0.772
sample_221,0.24100000000000002,0.271,0.68,0.27399999999999997,0.467,0.723,0.787,0.759
sample_222,0.24100000000000002,0.27899999999999997,0.647,0.23,0.45899999999999996,0.723,0.754,0.772
sample_223,0.24100000000000002,0.28600000000000003,0.675,0.265,0.45,0.7090000000000001,0.72,0.7509999999999999
sample_224,0.24100000000000002,0.294,0.637,0.122,0.442,0.6759999999999999,0.721,0.6970000000000001
sample_225,0.24100000000000002,0.302,0.679,0.13,0.433,0.708,0.7709999999999999,0.763
sample_226,0.24100000000000002,0.309,0.6809999999999999,0.172,0.43799999999999994,0.7290000000000001,0.8059999999999999,0.816
sample_227,0.24100000000000002,0.305,0.667,0.17300000000000001,0.45,0.731,0.785,0.79
sample_228,0.24100000000000002,0.3,0.6759999999999999,0.184,0.462,0.728,0.7340000000000001,0.75
sample_229,0.24100000000000002,0.295,0.667,0.172,0.474,0.718,0.73,0.725
sample_230,0.24100000000000002,0.29100000000000004,0.691,0.133,0.486,0.6990000000000001,0.7120000000000001,0.7190000000000001
sample_231,0.264,0.28600000000000003,0.679,0.11199999999999999,0.498,0.675,0.691,0.688
sample_232,0.264,0.281,0.642,0.0447,0.51,0.693,0.708,0.701
sample_233,0.264,0.27699999999999997,0.645,0.007529999999999999,0.56,0.71,0.737,0.741
sample_234,0.264,0.272,0.652,0.0142,0.611,0.728,0.746,0.78
sample_235,0.264,0.267,0.6809999999999999,0.0529,0.662,0.746,0.764,0.7759999999999999
sample_236,0.264,0.263,0.6779999999999999,0.0994,0.6659999999999999,0.7509999999999999,0.722,0.728
sample_237,0.264,0.258,0.6809999999999999,0.156,0.669,0.733,0.7020000000000001,0.73
sample_238,0.264,0.253,0.642,0.138,0.6709999999999999,0.715,0.653,0.6709999999999999
sample_239,0.264,0.249,0.6659999999999999,0.114,0.674,0.7170000000000001,0.7040000000000001,0.708
sample_240,0.264,0.244,0.6779999999999999,0.141,0.6759999999999999,0.727,0.733,0.728
sample_241,0.282,0.239,0.657,0.17300000000000001,0.679,0.737,0.727,0.737
sample_242,0.282,0.24100000000000002,0.672,0.218,0.682,0.747,0.77,0.7809999999999999
sample_243,0.282,0.251,0.665,0.299,0.684,0.764,0.795,0.784
sample_244,0.282,0.261,0.6679999999999999,0.34600000000000003,0.687,0.775,0.792,0.805
sample_245,0.282,0.27,0.659,0.4,0.69,0.779,0.7959999999999999,0.7829999999999999
sample_246,0.282,0.28,0.636,0.44299999999999995,0.6920000000000001,0.784,0.7559999999999999,0.7859999999999999
sample_247,0.282,0.29,0.634,0.465,0.695,0.789,0.7909999999999999,0.7659999999999999
sample_248,0.282,0.299,0.667,0.493,0.6890000000000001,0.7929999999999999,0.752,0.773
sample_249,0.282,0.309,0.662,0.483,0.6629999999999999,0.7979999999999999,0.7809999999999999,0.747
sample_250,0.282,0.319,0.649,0.522,0.637,0.8029999999999999,0.8059999999999999,0.779
sample_251,0.257,0.32799999999999996,0.653,0.524,0.611,0.802,0.79,0.7759999999999999
sample_252,0.257,0.319,0.647,0.5579999999999999,0.585,0.8,0.787,0.774
sample_253,0.257,0.289,0.642,0.578,0.5589999999999999,0.777,0.715,0.708
sample_254,0.257,0.259,0.623,0.5539999999999999,0.54,0.725,0.6629999999999999,0.6559999999999999
sample_255,0.257,0.266,0.642,0.479,0.523,0.72,0.6940000000000001,0.667
sample_256,0.257,0.282,0.6579999999999999,0.433,0.506,0.726,0.7020000000000001,0.703
sample_257,0.257,0.298,0.634,0.419,0.49,0.723,0.716,0.706
sample_258,0.257,0.314,0.664,0.415,0.473,0.7170000000000001,0.745,0.7390000000000001
sample_259,0.257,0.233,0.627,0.451,0.456,0.71,0.752,0.731
sample_260,0.257,0.24,0.612,0.4,0.439,0.7090000000000001,0.727,0.731
sample_261,0.17,0.24600000000000002,0.657,0.4,0.435,0.7190000000000001,0.754,0.736
sample_262,0.17,0.253,0.6459999999999999,0.32899999999999996,0.445,0.6970000000000001,0.723,0.7090000000000001
sample_263,0.17,0.259,0.617,0.324,0.455,0.753,0.728,0.747
sample_264,0.17,0.266,0.615,0.305,0.465,0.732,0.759,0.733
sample_265,0.17,0.272,0.634,0.33299999999999996,0.475,0.722,0.7120000000000001,0.735
sample_266,0.17,0.278,0.631,0.253,0.485,0.708,0.6709999999999999,0.7
sample_267,0.17,0.285,0.639,0.235,0.495,0.7240000000000001,0.6940000000000001,0.695
sample_268,0.17,0.29,0.638,0.235,0.505,0.716,0.698,0.7040000000000001
sample_269,0.17,0.293,0.623,0.10300000000000001,0.515,0.701,0.7040000000000001,0.706
sample_270,0.17,0.295,0.622,0.142,0.525,0.72,0.7040000000000001,0.722
sample_271,0.201,0.298,0.62,0.0591,0.535,0.708,0.7040000000000001,0.722
sample_272,0.201,0.3,0.628,0.0226,0.545,0.705,0.698,0.721
sample_273,0.201,0.3,0.64,0.00404,0.551,0.708,0.72,0.752
sample_274,0.201,0.298,0.64,0.0048,0.5479999999999999,0.71,0.748,0.767
sample_275,0.201,0.29600000000000004,0.6679999999999999,0.0195,0.546,0.713,0.772,0.78
sample_276,0.201,0.294,0.6579999999999999,0.0273,0.5429999999999999,0.716,0.754,0.764
sample_277,0.201,0.292,0.649,0.00547,0.541,0.6920000000000001,0.718,0.727
sample_278,0.201,0.29,0.659,0.0535,0.5379999999999999,0.727,0.792,0.805
sample_279,0.201,0.28800000000000003,0.644,0.0831,0.535,0.75,0.799,0.804
sample_280,0.201,0.28600000000000003,0.633,0.161,0.5329999999999999,0.7490000000000001,0.7829999999999999,0.7879999999999999
sample_281,0.26,0.284,0.667,0.163,0.53,0.738,0.764,0.7609999999999999
sample_282,0.26,0.282,0.662,0.23399999999999999,0.527,0.737,0.757,0.7609999999999999
sample_283,0.26,0.27899999999999997,0.642,0.198,0.525,0.725,0.706,0.69
sample_284,0.26,0.27699999999999997,0.612,0.18100000000000002,0.522,0.708,0.722,0.6970000000000001
sample_285,0.26,0.275,0.6509999999999999,0.217,0.52,0.7290000000000001,0.728,0.72
sample_286,0.26,0.273,0.632,0.204,0.517,0.715,0.74,0.716
sample_287,0.26,0.271,0.6709999999999999,0.233,0.514,0.727,0.7559999999999999,0.763
sample_288,0.26,0.26899999999999996,0.647,0.218,0.512,0.713,0.753,0.758
sample_289,0.26,0.267,0.631,0.258,0.51,0.718,0.741,0.735
sample_290,0.26,0.265,0.645,0.272,0.508,0.696,0.7290000000000001,0.732
sample_291,0.275,0.263,0.61,0.152,0.506,0.6809999999999999,0.7509999999999999,0.721
sample_292,0.275,0.261,0.617,0.11800000000000001,0.504,0.71,0.7559999999999999,0.742
sample_293,0.275,0.259,0.617,0.14300000000000002,0.502,0.7070000000000001,0.774,0.765
sample_294,0.275,0.257,0.645,0.0358,0.5,0.6779999999999999,0.7509999999999999,0.752
sample_295,0.275,0.257,0.634,0.0336,0.498,0.7490000000000001,0.77,0.775
sample_296,0.275,0.258,0.638,0.0463,0.49700000000000005,0.7170000000000001,0.755,0.779
sample_297,0.275,0.258,0.634,0.0103,0.495,0.715,0.747,0.7709999999999999
