,SMILES,pIGC50_class
sample_264,CCCCCCCCO,positive
sample_265,CCCCCCC(C)O,negative
sample_266,CCCCCC(O)CC,negative
sample_267,CCCCC(CC)CO,negative
sample_268,CCCCCCCCCO,positive
sample_269,CCCCCCCC(C)O,positive
sample_270,CCC(O)(CC)C(C)(C)C,negative
sample_271,CCCCCCCCCCCO,positive
sample_272,CCCCCCCCCCCCO,positive
sample_273,OC1CCCCC1,negative
sample_274,CCCC(O)CO,negative
sample_275,OCCCCCO,negative
sample_276,CC(O)CC(C)(C)O,negative
sample_277,CCCCC(O)CO,negative
sample_278,OCCCCCCO,negative
sample_279,CC(O)CCC(C)O,negative
sample_280,CCCCCCCCC(O)CO,positive
sample_281,OCCCCCCCCCCO,negative
sample_282,C=CCCO,negative
sample_283,C=C(C)CCO,negative
sample_284,C=CC(C)(C)O,negative
sample_285,C=CCCCO,negative
sample_286,C=CCC(C)O,negative
sample_287,C#CCCCO,negative
sample_288,C#CC(C)(C)O,negative
sample_289,CCC=CCCO,negative
sample_290,C#CCCCCO,negative
sample_291,C#CC(C)(O)CC,negative
sample_292,CC#CC(C)(O)CCC,negative
sample_293,CC=CCCCO,negative
sample_294,C=CCCCCO,negative
sample_295,CCC#CCCO,negative
sample_296,CCCC#CCCO,negative
sample_297,CCCC#CCC(O)CC,negative
sample_298,CCCCCCC#CCCO,positive
sample_299,C=CCO,negative
sample_300,C=C(C)CO,negative
sample_301,C=CC(C)O,negative
sample_302,OCC=CCO,negative
sample_303,CC(C)=CCO,negative
sample_304,CCC=CCO,negative
sample_305,CC=CC(C)O,negative
sample_306,C=CC(O)CC,negative
sample_307,C=CC(O)CCC,negative
sample_308,CCCCCCC=CCO,positive
sample_309,CCCCCCCCC=CCO,positive
sample_310,CCCCCCCCCC=CCO,positive
sample_311,COC(C)=O,negative
sample_312,CCCOC(C)=O,negative
sample_313,CC(=O)OC(C)C,negative
sample_314,CCC(C)OC(C)=O,negative
sample_315,CCCCCOC(C)=O,negative
sample_316,CCC(CC)COC(C)=O,negative
sample_317,CCCCCCCCOC(C)=O,positive
sample_318,CCCCOC(=O)CC,negative
sample_319,CCC(=O)OCC(C)C,negative
sample_320,CCCOC(=O)CC,negative
sample_321,CCC(=O)OC(C)(C)C,negative
sample_322,CCCC(=O)OCC,negative
sample_323,CCOC(=O)C(C)CC,negative
sample_324,CCCCC(=O)OCC,negative
sample_325,CCOC(=O)CC(C)C,negative
sample_326,CCCOC(=O)CCC,negative
sample_327,CCCCOC(=O)CCC,positive
sample_328,CCCCCOC(=O)CC,negative
sample_329,CC(C)COC(=O)C(C)C,negative
sample_330,CCCCCC(=O)OCC,negative
sample_331,CCC(=O)OC,negative
sample_332,CCCC(=O)OC,negative
sample_333,CCCCC(=O)OC,negative
sample_334,CCC(C)C(=O)OC,negative
sample_335,CCCCCC(=O)OC,negative
sample_336,CCCCCCC(=O)OC,negative
sample_337,CCCCCCCC(=O)OC,positive
sample_338,CCCCCCCCC(=O)OC,positive
sample_339,CCCCCCCCCC(=O)OC,positive
sample_340,CCCCCCCCCCC(=O)OC,positive
sample_341,COC=O,negative
sample_342,CCCCOC=O,negative
sample_343,CC(C)(C)OC=O,negative
sample_344,CCCCCOC=O,negative
sample_345,C=CCOC(=O)CC,negative
sample_346,C=CCOC(=O)CCCCCC,positive
sample_347,C=C(C)OC(C)=O,negative
sample_348,C=COC(C)=O,negative
sample_349,C=COC(=O)C(CC)CCCC,positive
sample_350,C#CCOC(=O)CC,negative
sample_351,C=COC(=O)CC,negative
sample_352,C=COC(=O)CCC,negative
sample_353,CC#CCOC(C)=O,negative
sample_354,CC(=O)C(C)C,negative
sample_355,CC(=O)CC(C)C,negative
sample_356,O=C1CCCCC1,negative
sample_357,CC(=O)C(C)(C)C,negative
sample_358,CCCCCC(C)=O,negative
sample_359,CCCC(=O)CCC,negative
sample_360,CCCCCCC(C)=O,negative
sample_361,CCCCC(=O)CCCC,negative
sample_362,CCCCCCCCC(C)=O,positive
sample_363,CCCCCCCC(=O)CC,positive
sample_364,CCCCCCCCCC(C)=O,positive
sample_365,CCCCCCCCCCC(C)=O,positive
sample_366,CCCCCCC(=O)CCCCCC,positive
sample_367,C=CCCC(C)=O,negative
sample_368,C=C(C)CCC(C)=O,negative
sample_369,CC(=O)CCC=C(C)C,negative
sample_370,CCC#N,negative
sample_371,CCCC#N,negative
sample_372,CCCCC#N,negative
sample_373,CC(C)CC#N,negative
sample_374,CCCCCC#N,negative
sample_375,CC(C)CCC#N,negative
sample_376,CCCCCCCCC#N,positive
sample_377,CCCCCCCCCCC#N,positive
sample_378,CCCCBr,negative
sample_379,CCCCCBr,positive
sample_380,CCCCCCCCBr,positive
sample_381,CCCCC(Br)CBr,positive
sample_382,BrCCCCCCBr,positive
sample_383,CCC(Br)C(Br)CC,positive
sample_384,CCCSCCC,negative
sample_385,CCCCSCCCC,positive
sample_386,CCCCCCCS,positive
sample_387,SC1CCCCC1,negative
sample_388,CS(C)=O,negative
sample_389,CCCCS(=O)CCCC,negative
sample_390,CCCOS(=O)OCCC,negative
sample_391,CCOS(=O)(=O)OCC,negative
sample_392,CCCCOS(=O)(=O)OCCCC,positive
sample_393,CC(C)=NO,negative
sample_394,CCCCCC(C)=NO,negative
sample_395,COC(N)=O,negative
sample_396,CCOC(N)=O,negative
sample_397,CCCCOC(N)=O,negative
sample_398,CCOC(=O)CCCCCCCCC(=O)OCC,positive
sample_399,CCOC(=O)CCCCCCC(=O)OCC,positive
sample_400,CCOC(=O)CCC(=O)OCC,negative
sample_401,COC(=O)CC(=O)OC,negative
sample_402,CCCCOC(=O)CCCCC(=O)OCCCC,positive
sample_403,COC(=O)CCCCCCCCCCCC(=O)OC,positive
sample_404,COC(=O)CCCCCCC(=O)OC,positive
sample_405,COC(=O)CCCC(=O)OC,negative
sample_406,CCCCC(C(=O)OCC)C(=O)OCC,positive
sample_407,CCOC(=O)C(CC)C(=O)OCC,negative
sample_408,CCOC(=O)CC(=O)C(C)(C)C(=O)OCC,negative
sample_409,CCOC(=O)CCC(=O)CCC(=O)OCC,negative
sample_410,CCCC(C(=O)OCC)C(=O)OCC,negative
sample_411,CCOC(=O)C(NC(C)=O)C(=O)OCC,negative
sample_412,C=CCC(C(=O)OCC)C(=O)OCC,negative
sample_413,CCCCOC(=O)CCC(=O)OCCCC,positive
sample_414,CCC(=O)O,negative
sample_415,CCCC(=O)O,negative
sample_416,CCCCCCCC(=O)O,negative
sample_417,O=C(O)CCC(=O)O,negative
sample_418,CC(C)C=O,negative
sample_419,CCCCC=O,negative
sample_420,CCC(C)C=O,negative
sample_421,CCCC(C)C=O,negative
sample_422,CC(C)(C)CC=O,negative
sample_423,CCCCCCCC=O,positive
sample_424,CCCCC(C=O)CC,negative
sample_425,CCCCCCCCCCC=O,positive
sample_426,CCCCCCCCCCCC=O,positive
sample_427,O=C1CCO1,negative
sample_428,O=C1CCCO1,negative
sample_429,CC1CC(=O)O1,negative
sample_430,CCC1CCC(=O)O1,negative
sample_431,O=C1CCCCCO1,negative
sample_432,CCCCCC1CCC(=O)O1,negative
sample_433,CCCCCCC1CCC(=O)O1,positive
sample_434,CC#CCO,negative
sample_435,C#CC(C)O,negative
sample_436,CCC#CCO,negative
sample_437,C#CC=CCO,negative
sample_438,C#CC(O)CCC,positive
sample_439,CCC#CC(C)O,positive
sample_440,CC(O)C#CC(C)O,negative
sample_441,C#CC(O)CCCC,negative
sample_442,CCCCC#CCO,negative
sample_443,CCCCCCC#CCO,positive
sample_444,CCCCCCCC#CCO,positive
sample_445,CCCCCCCCCCC#CCO,positive
sample_446,C#CC(O)C(C)C,negative
sample_447,C#CC(O)CC(C)C,positive
sample_448,C#CC(O)C(C)CCC,positive
sample_449,OCCCl,negative
sample_450,CC(O)CCl,negative
sample_451,OCC(Cl)(Cl)Cl,negative
sample_452,OCCCCCCCl,negative
sample_453,OCCCCCCBr,negative
sample_454,OCCCCCCCCBr,positive
sample_455,CC(C)(CO)CBr,negative
sample_456,CC(O)CBr,negative
sample_457,OCC(Br)CBr,negative
sample_458,CC(=O)OCCCCBr,positive
sample_459,CC(=O)OCCCCCCl,negative
sample_460,COC(=O)CCCCBr,negative
sample_461,CCOC(=O)CCCCBr,negative
sample_462,CCOC(=O)CCCCCBr,positive
sample_463,CCOC(=O)CCCl,negative
sample_464,CCOC(=O)CCCCl,negative
sample_465,N#CCCCCBr,negative
sample_466,N#CCCCCCCBr,positive
sample_467,N#CCCCl,negative
sample_468,O=C(O)CCCBr,negative
sample_469,O=C(O)CCBr,negative
sample_470,O=C(O)CCCCl,negative
sample_471,O=C(O)CCCl,negative
sample_472,O=C(O)CCCCCl,negative
sample_473,CC(C)C(Br)C(=O)O,negative
sample_474,CCCCC(Br)C(=O)O,positive
sample_475,CC(=O)NN,negative
sample_476,CCCC(=O)NN,negative
sample_477,NNC(=O)CCCCC(=O)NN,negative
sample_478,NNC=O,negative
sample_479,N#CCCCCC#N,negative
sample_480,CC(=O)CC(C)=O,negative
sample_481,O=C1CCC(=O)CC1,negative
sample_482,CCC(=O)CC(=O)CC,negative
sample_483,CCCCC(=O)CC(C)=O,negative
sample_484,CCCCCC(=O)CC(C)=O,positive
sample_485,NCCO,negative
sample_486,NCCCO,negative
sample_487,CNCCO,negative
sample_488,CCNCCO,negative
sample_489,CC(C)(N)CO,negative
sample_490,CCCC(N)CO,negative
sample_491,CC(C)(CN)CO,negative
sample_492,NCCCCCCO,negative
sample_493,CCCCC(N)CO,negative
sample_494,CC(C)C(N)CO,negative
sample_495,CC(C)(C)C(N)CO,negative
sample_496,CCC(C)C(N)CO,negative
sample_497,CC(C)CC(N)CO,negative
sample_498,CC(C)(C)NCCO,negative
sample_499,NCC(O)CO,negative
sample_500,CN(CCO)CCO,negative
sample_501,OCCN(CCO)CCO,negative
sample_502,CCCN,negative
sample_503,CCCCN,negative
sample_504,CCCNC,negative
sample_505,CCCCCCCN,negative
sample_506,CCCCCCCCN,positive
sample_507,CCCCCCCCCN,positive
sample_508,CCCCCCCCCCN,positive
sample_509,CCCCCCCCCCCN,positive
sample_510,CC(C)N,negative
sample_511,CCC(C)N,negative
sample_512,CCCC(C)N,negative
sample_513,CCC(N)CC,negative
sample_514,CCC(C)CN,negative
sample_515,CC(C)(C)N,negative
sample_516,CCC(C)(C)N,negative
sample_517,CC(C)C(C)N,negative
sample_518,C#CCN,negative
sample_519,C#CCNC,negative
sample_520,C#CCN(C)C,negative
sample_521,COCCCN,negative
sample_522,COCC(C)N,negative
sample_523,CCC(=O)O,negative
sample_524,CCCC(=O)O,negative
sample_525,CCCCCCC(=O)O,negative
sample_526,CCCCCCCC(=O)O,negative
sample_527,CCCCCCCCC(=O)O,positive
sample_528,CCCCCCCCCC(=O)O,positive
sample_529,CCCCCCCCCCC(=O)O,positive
sample_530,CC(C)C(=O)O,negative
sample_531,CC(C)CC(=O)O,negative
sample_532,CC(C)(C)C(=O)O,negative
sample_533,CCC(C)CC(=O)O,negative
sample_534,CCC(CC)C(=O)O,negative
sample_535,CCCC(CCC)C(=O)O,negative
sample_536,C=CCC(=O)O,negative
sample_537,CCC=CCC(=O)O,negative
sample_538,O=C(O)CC(=O)O,negative
sample_539,O=C(O)CCC(=O)O,negative
sample_540,O=C(O)CCCC(=O)O,negative
sample_541,O=C(O)CCCCCC(=O)O,negative
sample_542,O=C(O)CCCCCCCCC(=O)O,negative
sample_543,CC=CC(=O)O,negative
sample_544,CCC=CC(=O)O,negative
sample_545,CCCC=CC(=O)O,negative
sample_546,C#CC(=O)O,negative
sample_547,CCCCCC#CC(=O)O,negative
sample_548,CCCCCCC#CC(=O)O,positive
sample_549,CCN=C=S,positive
sample_550,CCCN=C=S,positive
sample_551,CCCCN=C=S,positive
sample_552,CCCCCCN=C=S,positive
sample_553,CC(C)(C)CN=C=S,positive
sample_554,S=C=NCCCN=C=S,positive
sample_555,CCCCC(=O)Cl,negative
sample_556,CCCCCC(=O)Cl,positive
sample_557,CCCCCCC(=O)Cl,positive
sample_558,CCCCCCCC(=O)Cl,positive
sample_559,CCCC(Br)C(=O)OCC,positive
sample_560,CCCCC(Br)C(=O)OCC,positive
sample_561,CCOC(=O)C(C)Br,positive
sample_562,CCOC(=O)C(Br)CBr,positive
sample_563,CCOC(=O)C(Br)C(C)Br,positive
sample_564,CCOC(=O)C(C)Cl,negative
sample_565,CCOC(=O)C(Cl)C(=O)OCC,positive
sample_566,CCOC(=O)C(C)(C)Br,negative
sample_567,CC(=O)C(Cl)Cl,positive
sample_568,CC(=O)C(C)Cl,positive
sample_569,CC(C)(Br)C(=O)C(C)(C)Br,positive
sample_570,CC(Br)C(=O)C(=O)C(C)Br,positive
sample_571,BrCC=CCBr,positive
sample_572,CC(Cl)C#N,negative
sample_573,N#CCCl,positive
sample_574,N#CC(Cl)Cl,positive
sample_575,O=C(CCl)CCl,positive
sample_576,N#CC(Cl)(Cl)Cl,positive
sample_577,N#CCBr,positive
sample_578,N#CC(Br)Br,positive
sample_579,C1CSCCS1,negative
sample_580,CCOS(=O)OCC,negative
sample_581,C=CS(=O)(=O)C=C,positive
sample_582,C=CS(=O)(=O)CC,negative
sample_583,Sc1ccccc1,positive
