,y1,x1,x2,x3,x4,x5
sample_35,0.0812,0.672,0.764,0.41700000000000004,0.371,0.507
sample_36,0.0812,0.67,0.7829999999999999,0.41200000000000003,0.376,0.504
sample_37,0.0812,0.667,0.784,0.401,0.397,0.505
sample_38,0.0812,0.6659999999999999,0.782,0.396,0.38299999999999995,0.507
sample_39,0.0812,0.667,0.787,0.395,0.424,0.504
sample_40,0.0812,0.664,0.769,0.39799999999999996,0.43700000000000006,0.508
sample_41,0.0511,0.662,0.769,0.401,0.423,0.509
sample_42,0.0511,0.66,0.7829999999999999,0.39,0.433,0.507
sample_43,0.0511,0.662,0.778,0.384,0.409,0.511
sample_44,0.0511,0.667,0.77,0.39,0.39899999999999997,0.511
sample_45,0.0511,0.672,0.755,0.387,0.395,0.517
sample_46,0.0511,0.6779999999999999,0.768,0.38,0.425,0.516
sample_47,0.0511,0.6779999999999999,0.782,0.38299999999999995,0.441,0.509
sample_48,0.0511,0.674,0.769,0.38,0.428,0.513
sample_49,0.0511,0.664,0.7559999999999999,0.385,0.405,0.519
sample_50,0.0511,0.652,0.758,0.39399999999999996,0.36700000000000005,0.519
sample_51,0.0511,0.6459999999999999,0.7509999999999999,0.397,0.435,0.526
sample_52,0.0511,0.6409999999999999,0.7559999999999999,0.401,0.455,0.52
sample_53,0.0511,0.645,0.768,0.397,0.43,0.505
sample_54,0.0511,0.648,0.753,0.384,0.426,0.512
sample_55,0.0511,0.644,0.7509999999999999,0.376,0.418,0.517
sample_56,0.0511,0.643,0.754,0.37200000000000005,0.42,0.511
sample_57,0.0511,0.643,0.768,0.37,0.39,0.507
sample_58,0.0511,0.6409999999999999,0.7809999999999999,0.37,0.373,0.508
sample_59,0.0511,0.635,0.78,0.364,0.38299999999999995,0.5
sample_60,0.0511,0.633,0.769,0.35200000000000004,0.397,0.501
sample_61,0.0517,0.638,0.7709999999999999,0.35,0.382,0.504
sample_62,0.0517,0.645,0.7909999999999999,0.355,0.382,0.498
sample_63,0.0517,0.648,0.7909999999999999,0.353,0.382,0.5
sample_64,0.0517,0.6459999999999999,0.778,0.33899999999999997,0.382,0.506
sample_65,0.0517,0.647,0.7709999999999999,0.33299999999999996,0.402,0.509
sample_66,0.0517,0.647,0.78,0.336,0.406,0.504
sample_67,0.0517,0.643,0.778,0.332,0.396,0.507
sample_68,0.0517,0.634,0.765,0.322,0.39299999999999996,0.515
sample_69,0.0517,0.629,0.7659999999999999,0.32,0.409,0.513
sample_70,0.0517,0.633,0.782,0.319,0.41,0.506
sample_71,0.0517,0.642,0.7829999999999999,0.309,0.39399999999999996,0.507
sample_72,0.0517,0.644,0.78,0.305,0.408,0.507
sample_73,0.0517,0.638,0.772,0.306,0.38799999999999996,0.507
sample_74,0.0517,0.638,0.775,0.309,0.386,0.511
sample_75,0.0517,0.6459999999999999,0.7809999999999999,0.313,0.391,0.508
sample_76,0.0517,0.65,0.7809999999999999,0.313,0.385,0.49700000000000005
sample_77,0.0517,0.649,0.763,0.312,0.401,0.501
sample_78,0.0517,0.65,0.7490000000000001,0.311,0.37799999999999995,0.508
sample_79,0.0517,0.654,0.765,0.311,0.385,0.503
sample_80,0.0517,0.657,0.7709999999999999,0.317,0.39799999999999996,0.499
sample_81,0.0961,0.654,0.782,0.321,0.373,0.5
sample_82,0.0961,0.645,0.777,0.32,0.374,0.508
sample_83,0.0961,0.64,0.754,0.324,0.395,0.512
sample_84,0.0961,0.633,0.7659999999999999,0.327,0.39799999999999996,0.508
sample_85,0.0961,0.628,0.7759999999999999,0.32899999999999996,0.414,0.506
sample_86,0.0961,0.626,0.78,0.32899999999999996,0.43,0.505
sample_87,0.0961,0.625,0.774,0.324,0.43,0.507
sample_88,0.0961,0.62,0.759,0.314,0.409,0.511
sample_89,0.0961,0.621,0.768,0.301,0.389,0.512
sample_90,0.0961,0.624,0.7829999999999999,0.294,0.392,0.509
sample_91,0.0961,0.619,0.78,0.29100000000000004,0.44799999999999995,0.512
sample_92,0.0961,0.616,0.772,0.29100000000000004,0.44,0.513
sample_93,0.0961,0.619,0.778,0.28800000000000003,0.4,0.509
sample_94,0.0961,0.625,0.778,0.293,0.426,0.506
sample_95,0.0961,0.631,0.767,0.298,0.405,0.508
sample_96,0.0961,0.637,0.765,0.3,0.384,0.509
sample_97,0.0961,0.64,0.765,0.29600000000000004,0.38299999999999995,0.505
sample_98,0.0961,0.639,0.778,0.297,0.409,0.499
sample_99,0.0961,0.636,0.778,0.305,0.42100000000000004,0.499
sample_100,0.0961,0.631,0.769,0.309,0.387,0.506
sample_101,0.0675,0.626,0.763,0.313,0.413,0.508
sample_102,0.0675,0.622,0.774,0.311,0.41,0.504
sample_103,0.0675,0.617,0.779,0.303,0.364,0.506
sample_104,0.0675,0.618,0.7609999999999999,0.297,0.389,0.514
sample_105,0.0675,0.624,0.7609999999999999,0.292,0.391,0.513
sample_106,0.0675,0.624,0.759,0.287,0.391,0.512
sample_107,0.0675,0.625,0.7709999999999999,0.29100000000000004,0.418,0.508
sample_108,0.0675,0.626,0.774,0.29600000000000004,0.429,0.507
sample_109,0.0675,0.627,0.7490000000000001,0.302,0.44299999999999995,0.511
sample_110,0.0675,0.625,0.762,0.308,0.418,0.511
sample_111,0.0675,0.619,0.775,0.307,0.381,0.506
sample_112,0.0675,0.614,0.787,0.304,0.42200000000000004,0.499
sample_113,0.0675,0.613,0.78,0.303,0.442,0.502
sample_114,0.0675,0.613,0.777,0.3,0.409,0.502
sample_115,0.0675,0.611,0.772,0.297,0.42100000000000004,0.504
sample_116,0.0675,0.608,0.7659999999999999,0.293,0.39399999999999996,0.508
sample_117,0.0675,0.61,0.773,0.292,0.402,0.505
sample_118,0.0675,0.609,0.7759999999999999,0.285,0.42200000000000004,0.506
sample_119,0.0675,0.614,0.7559999999999999,0.27899999999999997,0.384,0.511
sample_120,0.0675,0.621,0.758,0.282,0.39799999999999996,0.51
sample_121,0.0524,0.622,0.768,0.285,0.419,0.512
sample_122,0.0524,0.62,0.7709999999999999,0.285,0.389,0.508
sample_123,0.0524,0.617,0.782,0.28600000000000003,0.396,0.501
sample_124,0.0524,0.617,0.7809999999999999,0.284,0.39,0.502
sample_125,0.0524,0.617,0.7879999999999999,0.278,0.39799999999999996,0.502
sample_126,0.0524,0.618,0.784,0.284,0.41700000000000004,0.505
sample_127,0.0524,0.618,0.778,0.285,0.405,0.506
sample_128,0.0524,0.618,0.77,0.28300000000000003,0.425,0.506
sample_129,0.0524,0.617,0.768,0.281,0.446,0.505
sample_130,0.0524,0.617,0.757,0.276,0.452,0.508
sample_131,0.0524,0.621,0.743,0.278,0.418,0.514
sample_132,0.0524,0.625,0.7559999999999999,0.271,0.386,0.514
sample_133,0.0524,0.627,0.77,0.276,0.37,0.512
sample_134,0.0524,0.627,0.773,0.287,0.385,0.51
sample_135,0.0524,0.627,0.7609999999999999,0.281,0.38799999999999996,0.512
sample_136,0.0524,0.626,0.764,0.27699999999999997,0.391,0.512
sample_137,0.0524,0.626,0.7879999999999999,0.27899999999999997,0.41,0.503
sample_138,0.0524,0.625,0.7859999999999999,0.282,0.384,0.5
sample_139,0.0524,0.628,0.768,0.282,0.406,0.507
sample_140,0.0524,0.633,0.75,0.292,0.424,0.518
sample_141,0.10099999999999999,0.639,0.7490000000000001,0.298,0.39299999999999996,0.513
sample_142,0.10099999999999999,0.644,0.755,0.29600000000000004,0.384,0.51
sample_143,0.10099999999999999,0.642,0.757,0.302,0.39399999999999996,0.508
sample_144,0.10099999999999999,0.64,0.77,0.304,0.395,0.501
sample_145,0.10099999999999999,0.638,0.785,0.312,0.39799999999999996,0.496
sample_146,0.10099999999999999,0.635,0.784,0.327,0.382,0.496
sample_147,0.10099999999999999,0.634,0.778,0.322,0.396,0.498
sample_148,0.10099999999999999,0.635,0.765,0.314,0.428,0.504
sample_149,0.10099999999999999,0.636,0.765,0.313,0.389,0.507
sample_150,0.10099999999999999,0.639,0.758,0.306,0.387,0.513
sample_151,0.10099999999999999,0.64,0.7509999999999999,0.308,0.441,0.516
sample_152,0.10099999999999999,0.643,0.759,0.318,0.41600000000000004,0.521
sample_153,0.10099999999999999,0.649,0.762,0.32,0.385,0.517
sample_154,0.10099999999999999,0.652,0.774,0.32299999999999995,0.36700000000000005,0.5
sample_155,0.10099999999999999,0.6509999999999999,0.7829999999999999,0.327,0.35700000000000004,0.5
sample_156,0.10099999999999999,0.6509999999999999,0.782,0.332,0.418,0.505
sample_157,0.10099999999999999,0.65,0.765,0.341,0.409,0.511
sample_158,0.10099999999999999,0.652,0.757,0.341,0.384,0.513
sample_159,0.10099999999999999,0.652,0.7659999999999999,0.344,0.418,0.509
sample_160,0.10099999999999999,0.648,0.777,0.344,0.43700000000000006,0.502
sample_161,0.0978,0.649,0.7759999999999999,0.336,0.409,0.503
sample_162,0.0978,0.654,0.764,0.344,0.386,0.506
sample_163,0.0978,0.659,0.7609999999999999,0.349,0.395,0.506
sample_164,0.0978,0.6609999999999999,0.768,0.349,0.41,0.504
sample_165,0.0978,0.6629999999999999,0.7659999999999999,0.355,0.42100000000000004,0.507
sample_166,0.0978,0.6629999999999999,0.762,0.358,0.40399999999999997,0.511
sample_167,0.0978,0.657,0.763,0.36700000000000005,0.373,0.506
sample_168,0.0978,0.6509999999999999,0.77,0.371,0.39899999999999997,0.502
sample_169,0.0978,0.65,0.77,0.364,0.396,0.509
sample_170,0.0978,0.648,0.77,0.35600000000000004,0.364,0.517
sample_171,0.0978,0.647,0.779,0.349,0.39399999999999996,0.512
sample_172,0.0978,0.6459999999999999,0.7809999999999999,0.345,0.38,0.51
sample_173,0.0978,0.648,0.7809999999999999,0.342,0.392,0.508
sample_174,0.0978,0.648,0.779,0.335,0.41700000000000004,0.507
sample_175,0.0978,0.644,0.773,0.32899999999999996,0.384,0.512
sample_176,0.0978,0.645,0.762,0.33299999999999996,0.396,0.514
sample_177,0.0978,0.647,0.757,0.33299999999999996,0.409,0.51
sample_178,0.0978,0.642,0.777,0.33,0.413,0.505
sample_179,0.0978,0.636,0.774,0.32799999999999996,0.41,0.509
sample_180,0.0978,0.633,0.765,0.325,0.37799999999999995,0.513
sample_181,0.055999999999999994,0.631,0.7709999999999999,0.325,0.39299999999999996,0.508
sample_182,0.055999999999999994,0.628,0.77,0.318,0.392,0.508
sample_183,0.055999999999999994,0.625,0.78,0.309,0.391,0.506
sample_184,0.055999999999999994,0.62,0.7759999999999999,0.3,0.42,0.508
sample_185,0.055999999999999994,0.618,0.765,0.292,0.359,0.512
sample_186,0.055999999999999994,0.616,0.746,0.278,0.38299999999999995,0.514
sample_187,0.055999999999999994,0.612,0.763,0.271,0.446,0.51
sample_188,0.055999999999999994,0.614,0.7809999999999999,0.267,0.408,0.503
sample_189,0.055999999999999994,0.616,0.769,0.264,0.397,0.506
sample_190,0.055999999999999994,0.618,0.768,0.265,0.39399999999999996,0.508
sample_191,0.055999999999999994,0.622,0.762,0.262,0.40700000000000003,0.509
sample_192,0.055999999999999994,0.624,0.764,0.256,0.436,0.508
sample_193,0.055999999999999994,0.62,0.782,0.251,0.402,0.504
sample_194,0.055999999999999994,0.617,0.78,0.25,0.40299999999999997,0.504
sample_195,0.055999999999999994,0.614,0.778,0.245,0.38799999999999996,0.505
sample_196,0.055999999999999994,0.61,0.757,0.249,0.392,0.511
sample_197,0.055999999999999994,0.607,0.755,0.248,0.446,0.509
sample_198,0.055999999999999994,0.605,0.778,0.243,0.406,0.501
sample_199,0.055999999999999994,0.6,0.785,0.237,0.359,0.502
sample_200,0.055999999999999994,0.598,0.769,0.228,0.35700000000000004,0.51
sample_201,0.0488,0.604,0.773,0.215,0.397,0.509
sample_202,0.0488,0.604,0.772,0.207,0.425,0.506
sample_203,0.0488,0.602,0.745,0.2,0.376,0.511
sample_204,0.0488,0.607,0.753,0.19,0.381,0.511
sample_205,0.0488,0.612,0.77,0.193,0.43,0.507
sample_206,0.0488,0.615,0.775,0.203,0.402,0.51
sample_207,0.0488,0.618,0.769,0.198,0.39799999999999996,0.516
sample_208,0.0488,0.626,0.757,0.19399999999999998,0.40299999999999997,0.51
sample_209,0.0488,0.632,0.76,0.19699999999999998,0.40700000000000003,0.504
sample_210,0.0488,0.633,0.7759999999999999,0.2,0.425,0.502
sample_211,0.0488,0.637,0.779,0.2,0.405,0.505
sample_212,0.0488,0.637,0.784,0.198,0.402,0.503
sample_213,0.0488,0.63,0.785,0.19899999999999998,0.402,0.5
sample_214,0.0488,0.624,0.7709999999999999,0.19699999999999998,0.384,0.502
sample_215,0.0488,0.623,0.769,0.19899999999999998,0.409,0.504
sample_216,0.0488,0.625,0.7609999999999999,0.19699999999999998,0.408,0.51
sample_217,0.0488,0.623,0.754,0.192,0.415,0.511
sample_218,0.0488,0.62,0.77,0.18600000000000003,0.401,0.509
sample_219,0.0488,0.621,0.769,0.174,0.39899999999999997,0.512
sample_220,0.0488,0.625,0.7829999999999999,0.17600000000000002,0.43200000000000005,0.507
sample_221,0.0475,0.628,0.7879999999999999,0.17300000000000001,0.38799999999999996,0.506
sample_222,0.0475,0.628,0.765,0.17300000000000001,0.39,0.509
sample_223,0.0475,0.625,0.7659999999999999,0.18100000000000002,0.368,0.511
sample_224,0.0475,0.627,0.77,0.18,0.376,0.513
sample_225,0.0475,0.635,0.768,0.183,0.439,0.508
sample_226,0.0475,0.64,0.7709999999999999,0.187,0.4,0.504
sample_227,0.0475,0.6409999999999999,0.7659999999999999,0.192,0.4,0.505
sample_228,0.0475,0.642,0.769,0.196,0.374,0.508
sample_229,0.0475,0.645,0.7559999999999999,0.198,0.361,0.509
sample_230,0.0475,0.65,0.753,0.198,0.433,0.506
sample_231,0.0475,0.653,0.7659999999999999,0.2,0.42,0.504
sample_232,0.0475,0.654,0.765,0.2,0.413,0.509
sample_233,0.0475,0.657,0.777,0.209,0.397,0.507
sample_234,0.0475,0.6559999999999999,0.7709999999999999,0.212,0.409,0.505
sample_235,0.0475,0.654,0.7659999999999999,0.214,0.449,0.504
sample_236,0.0475,0.649,0.764,0.225,0.389,0.503
sample_237,0.0475,0.647,0.753,0.226,0.376,0.51
sample_238,0.0475,0.6509999999999999,0.759,0.21899999999999997,0.39,0.51
sample_239,0.0475,0.6579999999999999,0.767,0.221,0.402,0.504
sample_240,0.0475,0.6629999999999999,0.767,0.233,0.42100000000000004,0.503
sample_241,0.0868,0.6629999999999999,0.773,0.243,0.395,0.501
sample_242,0.0868,0.664,0.7759999999999999,0.24600000000000002,0.405,0.503
sample_243,0.0868,0.6629999999999999,0.767,0.249,0.361,0.509
sample_244,0.0868,0.6579999999999999,0.7609999999999999,0.255,0.365,0.508
sample_245,0.0868,0.657,0.768,0.26,0.42100000000000004,0.504
sample_246,0.0868,0.659,0.7609999999999999,0.266,0.4,0.509
sample_247,0.0868,0.659,0.7559999999999999,0.267,0.41,0.516
sample_248,0.0868,0.6559999999999999,0.769,0.267,0.354,0.509
sample_249,0.0868,0.653,0.764,0.27,0.35100000000000003,0.508
sample_250,0.0868,0.65,0.753,0.275,0.431,0.51
sample_251,0.0868,0.645,0.769,0.276,0.426,0.505
sample_252,0.0868,0.64,0.784,0.271,0.41600000000000004,0.502
sample_253,0.0868,0.635,0.7759999999999999,0.267,0.373,0.508
sample_254,0.0868,0.632,0.773,0.264,0.379,0.511
sample_255,0.0868,0.636,0.77,0.266,0.43200000000000005,0.512
sample_256,0.0868,0.639,0.772,0.264,0.435,0.509
sample_257,0.0868,0.64,0.7659999999999999,0.26,0.45299999999999996,0.511
sample_258,0.0868,0.64,0.7559999999999999,0.262,0.44799999999999995,0.512
sample_259,0.0868,0.642,0.762,0.264,0.425,0.509
sample_260,0.0868,0.6459999999999999,0.76,0.26899999999999996,0.43,0.507
sample_261,0.075,0.649,0.7659999999999999,0.267,0.40399999999999997,0.504
sample_262,0.075,0.653,0.758,0.27699999999999997,0.364,0.506
sample_263,0.075,0.6579999999999999,0.753,0.29600000000000004,0.359,0.504
sample_264,0.075,0.6629999999999999,0.759,0.305,0.39399999999999996,0.501
sample_265,0.075,0.664,0.7659999999999999,0.309,0.44,0.501
sample_266,0.075,0.664,0.777,0.306,0.418,0.502
sample_267,0.075,0.662,0.762,0.306,0.395,0.507
sample_268,0.075,0.6579999999999999,0.764,0.31,0.385,0.507
sample_269,0.075,0.653,0.7659999999999999,0.314,0.37,0.51
sample_270,0.075,0.65,0.759,0.315,0.382,0.514
sample_271,0.075,0.649,0.777,0.313,0.402,0.51
sample_272,0.075,0.65,0.779,0.31,0.408,0.507
sample_273,0.075,0.65,0.769,0.304,0.40299999999999997,0.507
sample_274,0.075,0.65,0.7609999999999999,0.297,0.419,0.51
sample_275,0.075,0.649,0.7759999999999999,0.293,0.429,0.508
sample_276,0.075,0.6459999999999999,0.7829999999999999,0.292,0.44299999999999995,0.506
sample_277,0.075,0.6459999999999999,0.7829999999999999,0.299,0.42,0.501
sample_278,0.075,0.649,0.7659999999999999,0.305,0.40399999999999997,0.501
sample_279,0.075,0.6509999999999999,0.762,0.301,0.38799999999999996,0.501
sample_280,0.075,0.65,0.772,0.301,0.374,0.507
sample_281,0.111,0.649,0.765,0.315,0.401,0.511
sample_282,0.111,0.649,0.7709999999999999,0.32299999999999995,0.44799999999999995,0.507
sample_283,0.111,0.65,0.767,0.327,0.455,0.507
sample_284,0.111,0.653,0.768,0.33299999999999996,0.425,0.503
sample_285,0.111,0.6559999999999999,0.7709999999999999,0.33799999999999997,0.36200000000000004,0.503
sample_286,0.111,0.66,0.753,0.336,0.325,0.512
sample_287,0.111,0.662,0.747,0.342,0.382,0.516
sample_288,0.111,0.665,0.764,0.35200000000000004,0.446,0.513
sample_289,0.111,0.6679999999999999,0.765,0.35200000000000004,0.44799999999999995,0.514
sample_290,0.111,0.667,0.77,0.35700000000000004,0.405,0.51
sample_291,0.111,0.6659999999999999,0.7829999999999999,0.353,0.379,0.502
sample_292,0.111,0.664,0.78,0.341,0.391,0.506
sample_293,0.111,0.662,0.762,0.34,0.391,0.512
sample_294,0.111,0.662,0.764,0.332,0.376,0.512
sample_295,0.111,0.66,0.7659999999999999,0.32,0.397,0.511
sample_296,0.111,0.6609999999999999,0.78,0.32,0.39399999999999996,0.505
sample_297,0.111,0.6629999999999999,0.784,0.32299999999999995,0.375,0.502
sample_298,0.111,0.662,0.767,0.319,0.42200000000000004,0.507
sample_299,0.111,0.6609999999999999,0.757,0.321,0.39899999999999997,0.513
sample_300,0.111,0.6609999999999999,0.779,0.319,0.395,0.505
sample_301,0.0507,0.662,0.784,0.316,0.43799999999999994,0.503
sample_302,0.0507,0.6629999999999999,0.777,0.32299999999999995,0.40299999999999997,0.505
sample_303,0.0507,0.6629999999999999,0.775,0.32,0.395,0.507
sample_304,0.0507,0.665,0.77,0.312,0.37,0.513
sample_305,0.0507,0.6659999999999999,0.762,0.313,0.402,0.514
sample_306,0.0507,0.665,0.746,0.318,0.46,0.51
sample_307,0.0507,0.6659999999999999,0.759,0.313,0.373,0.504
sample_308,0.0507,0.669,0.757,0.312,0.359,0.506
sample_309,0.0507,0.672,0.7609999999999999,0.316,0.39399999999999996,0.502
sample_310,0.0507,0.6759999999999999,0.7809999999999999,0.316,0.39299999999999996,0.499
sample_311,0.0507,0.6779999999999999,0.774,0.32,0.39799999999999996,0.507
sample_312,0.0507,0.679,0.757,0.32799999999999996,0.39,0.515
sample_313,0.0507,0.68,0.7509999999999999,0.33,0.413,0.514
sample_314,0.0507,0.6779999999999999,0.748,0.319,0.389,0.515
sample_315,0.0507,0.672,0.7559999999999999,0.307,0.355,0.517
sample_316,0.0507,0.67,0.7709999999999999,0.308,0.384,0.512
sample_317,0.0507,0.669,0.782,0.295,0.40299999999999997,0.507
sample_318,0.0507,0.669,0.7609999999999999,0.275,0.439,0.512
sample_319,0.0507,0.6709999999999999,0.7509999999999999,0.265,0.504,0.517
sample_320,0.0507,0.672,0.773,0.251,0.473,0.516
sample_321,0.0479,0.6709999999999999,0.774,0.257,0.397,0.51
sample_322,0.0479,0.6709999999999999,0.76,0.27,0.33899999999999997,0.508
sample_323,0.0479,0.6729999999999999,0.752,0.27399999999999997,0.337,0.505
sample_324,0.0479,0.6729999999999999,0.755,0.28800000000000003,0.389,0.504
sample_325,0.0479,0.672,0.775,0.299,0.434,0.504
sample_326,0.0479,0.67,0.784,0.311,0.436,0.502
sample_327,0.0479,0.669,0.764,0.32,0.449,0.503
sample_328,0.0479,0.6709999999999999,0.7559999999999999,0.313,0.435,0.505
sample_329,0.0479,0.674,0.753,0.305,0.37799999999999995,0.507
sample_330,0.0479,0.6729999999999999,0.765,0.311,0.41,0.502
sample_331,0.0479,0.675,0.772,0.305,0.43700000000000006,0.504
sample_332,0.0479,0.677,0.774,0.299,0.431,0.504
sample_333,0.0479,0.675,0.772,0.307,0.39399999999999996,0.504
sample_334,0.0479,0.675,0.759,0.319,0.389,0.505
sample_335,0.0479,0.6759999999999999,0.754,0.322,0.396,0.507
sample_336,0.0479,0.6759999999999999,0.76,0.317,0.379,0.514
sample_337,0.0479,0.6729999999999999,0.7709999999999999,0.318,0.425,0.513
sample_338,0.0479,0.674,0.769,0.327,0.41600000000000004,0.509
sample_339,0.0479,0.6779999999999999,0.773,0.332,0.409,0.502
sample_340,0.0479,0.6779999999999999,0.769,0.33299999999999996,0.434,0.506
sample_341,0.10300000000000001,0.679,0.7709999999999999,0.336,0.41700000000000004,0.51
sample_342,0.10300000000000001,0.679,0.767,0.342,0.40399999999999997,0.51
sample_343,0.10300000000000001,0.682,0.7609999999999999,0.341,0.379,0.508
sample_344,0.10300000000000001,0.685,0.754,0.341,0.379,0.507
sample_345,0.10300000000000001,0.685,0.7440000000000001,0.33799999999999997,0.391,0.513
sample_346,0.10300000000000001,0.6829999999999999,0.762,0.34600000000000003,0.396,0.508
sample_347,0.10300000000000001,0.6809999999999999,0.7809999999999999,0.35600000000000004,0.397,0.503
sample_348,0.10300000000000001,0.682,0.7909999999999999,0.35200000000000004,0.396,0.502
sample_349,0.10300000000000001,0.6809999999999999,0.777,0.35,0.426,0.506
sample_350,0.10300000000000001,0.679,0.773,0.35700000000000004,0.43700000000000006,0.507
sample_351,0.10300000000000001,0.677,0.779,0.354,0.419,0.505
sample_352,0.10300000000000001,0.6779999999999999,0.7809999999999999,0.348,0.425,0.506
sample_353,0.10300000000000001,0.68,0.777,0.35100000000000003,0.39,0.507
sample_354,0.10300000000000001,0.679,0.774,0.35200000000000004,0.382,0.504
sample_355,0.10300000000000001,0.677,0.767,0.35,0.433,0.507
sample_356,0.10300000000000001,0.6759999999999999,0.7759999999999999,0.345,0.429,0.506
sample_357,0.10300000000000001,0.675,0.778,0.354,0.405,0.506
sample_358,0.10300000000000001,0.677,0.763,0.35600000000000004,0.38799999999999996,0.512
sample_359,0.10300000000000001,0.6809999999999999,0.779,0.35,0.397,0.505
sample_360,0.10300000000000001,0.682,0.7759999999999999,0.361,0.37200000000000005,0.501
sample_361,0.0904,0.68,0.767,0.369,0.377,0.498
sample_362,0.0904,0.68,0.7829999999999999,0.371,0.4,0.495
sample_363,0.0904,0.6829999999999999,0.774,0.375,0.392,0.49700000000000005
sample_364,0.0904,0.684,0.767,0.37,0.42100000000000004,0.502
sample_365,0.0904,0.684,0.772,0.366,0.434,0.508
sample_366,0.0904,0.685,0.768,0.374,0.42100000000000004,0.504
sample_367,0.0904,0.674,0.782,0.375,0.401,0.501
sample_368,0.0904,0.6509999999999999,0.782,0.369,0.365,0.51
sample_369,0.0904,0.63,0.7859999999999999,0.36700000000000005,0.381,0.511
sample_370,0.0904,0.612,0.7829999999999999,0.36200000000000004,0.408,0.512
sample_371,0.0904,0.596,0.782,0.34,0.392,0.512
sample_372,0.0904,0.5820000000000001,0.784,0.305,0.39,0.511
sample_373,0.0904,0.568,0.772,0.27699999999999997,0.38,0.518
sample_374,0.0904,0.557,0.775,0.248,0.41700000000000004,0.507
sample_375,0.0904,0.5539999999999999,0.7659999999999999,0.222,0.423,0.508
sample_376,0.0904,0.5539999999999999,0.768,0.19899999999999998,0.37799999999999995,0.517
sample_377,0.0904,0.555,0.773,0.17800000000000002,0.391,0.51
sample_378,0.0904,0.49,0.753,0.161,0.39,0.516
sample_379,0.0904,0.37,0.662,0.141,0.41600000000000004,0.518
sample_380,0.0904,0.322,0.5489999999999999,0.12300000000000001,0.41,0.513
sample_381,0.0288,0.324,0.541,0.0999,0.41,0.51
sample_382,0.0288,0.32299999999999995,0.534,0.0787,0.435,0.511
sample_383,0.0288,0.316,0.531,0.0648,0.381,0.513
sample_384,0.0288,0.311,0.528,0.057999999999999996,0.39399999999999996,0.51
sample_385,0.0288,0.261,0.418,0.0624,0.41200000000000003,0.52
sample_386,0.0288,0.201,0.309,0.0614,0.409,0.526
sample_387,0.0288,0.203,0.285,0.0641,0.431,0.514
sample_388,0.0288,0.207,0.263,0.0811,0.38799999999999996,0.511
sample_389,0.0288,0.209,0.27699999999999997,0.105,0.36200000000000004,0.507
sample_390,0.0288,0.21,0.265,0.122,0.44,0.508
sample_391,0.0288,0.213,0.26,0.145,0.465,0.503
sample_392,0.0288,0.225,0.263,0.16899999999999998,0.44799999999999995,0.5
sample_393,0.0288,0.302,0.289,0.18600000000000003,0.39299999999999996,0.488
sample_394,0.0288,0.461,0.382,0.212,0.39799999999999996,0.47
