,y,x1,x2,x3,x4,x5
sample_136,0.182,0.626,0.764,0.277,0.391,0.512
sample_137,0.182,0.626,0.788,0.279,0.41,0.503
sample_138,0.182,0.625,0.786,0.282,0.384,0.5
sample_139,0.182,0.628,0.768,0.282,0.406,0.507
sample_140,0.182,0.633,0.75,0.292,0.424,0.518
sample_141,0.153,0.639,0.749,0.298,0.393,0.513
sample_142,0.153,0.644,0.755,0.296,0.384,0.51
sample_143,0.153,0.642,0.757,0.302,0.394,0.508
sample_144,0.153,0.64,0.77,0.304,0.395,0.501
sample_145,0.153,0.638,0.785,0.312,0.398,0.496
sample_146,0.153,0.635,0.784,0.327,0.382,0.496
sample_147,0.153,0.634,0.778,0.322,0.396,0.498
sample_148,0.153,0.635,0.765,0.314,0.428,0.504
sample_149,0.153,0.636,0.765,0.313,0.389,0.507
sample_150,0.153,0.639,0.758,0.306,0.387,0.513
sample_151,0.153,0.64,0.751,0.308,0.441,0.516
sample_152,0.153,0.643,0.759,0.318,0.416,0.521
sample_153,0.153,0.649,0.762,0.32,0.385,0.517
sample_154,0.153,0.652,0.774,0.323,0.367,0.5
sample_155,0.153,0.651,0.783,0.327,0.357,0.5
sample_156,0.153,0.651,0.782,0.332,0.418,0.505
sample_157,0.153,0.65,0.765,0.341,0.409,0.511
sample_158,0.153,0.652,0.757,0.341,0.384,0.513
sample_159,0.153,0.652,0.766,0.344,0.418,0.509
sample_160,0.153,0.648,0.777,0.344,0.437,0.502
sample_161,0.148,0.649,0.776,0.336,0.409,0.503
sample_162,0.148,0.654,0.764,0.344,0.386,0.506
sample_163,0.148,0.659,0.761,0.349,0.395,0.506
sample_164,0.148,0.661,0.768,0.349,0.41,0.504
sample_165,0.148,0.663,0.766,0.355,0.421,0.507
sample_166,0.148,0.663,0.762,0.358,0.404,0.511
sample_167,0.148,0.657,0.763,0.367,0.373,0.506
sample_168,0.148,0.651,0.77,0.371,0.399,0.502
sample_169,0.148,0.65,0.77,0.364,0.396,0.509
sample_170,0.148,0.648,0.77,0.356,0.364,0.517
sample_171,0.148,0.647,0.779,0.349,0.394,0.512
sample_172,0.148,0.646,0.781,0.345,0.38,0.51
sample_173,0.148,0.648,0.781,0.342,0.392,0.508
sample_174,0.148,0.648,0.779,0.335,0.417,0.507
sample_175,0.148,0.644,0.773,0.329,0.384,0.512
sample_176,0.148,0.645,0.762,0.333,0.396,0.514
sample_177,0.148,0.647,0.757,0.333,0.409,0.51
sample_178,0.148,0.642,0.777,0.33,0.413,0.505
sample_179,0.148,0.636,0.774,0.328,0.41,0.509
sample_180,0.148,0.633,0.765,0.325,0.378,0.513
sample_181,0.21,0.631,0.771,0.325,0.393,0.508
sample_182,0.21,0.628,0.77,0.318,0.392,0.508
sample_183,0.21,0.625,0.78,0.309,0.391,0.506
sample_184,0.21,0.62,0.776,0.3,0.42,0.508
sample_185,0.21,0.618,0.765,0.292,0.359,0.512
sample_186,0.21,0.616,0.746,0.278,0.383,0.514
sample_187,0.21,0.612,0.763,0.271,0.446,0.51
sample_188,0.21,0.614,0.781,0.267,0.408,0.503
sample_189,0.21,0.616,0.769,0.264,0.397,0.506
sample_190,0.21,0.618,0.768,0.265,0.394,0.508
sample_191,0.21,0.622,0.762,0.262,0.407,0.509
sample_192,0.21,0.624,0.764,0.256,0.436,0.508
sample_193,0.21,0.62,0.782,0.251,0.402,0.504
sample_194,0.21,0.617,0.78,0.25,0.403,0.504
sample_195,0.21,0.614,0.778,0.245,0.388,0.505
sample_196,0.21,0.61,0.757,0.249,0.392,0.511
sample_197,0.21,0.607,0.755,0.248,0.446,0.509
sample_198,0.21,0.605,0.778,0.243,0.406,0.501
sample_199,0.21,0.6,0.785,0.237,0.359,0.502
sample_200,0.21,0.598,0.769,0.228,0.357,0.51
sample_201,0.246,0.604,0.773,0.215,0.397,0.509
sample_202,0.246,0.604,0.772,0.207,0.425,0.506
sample_203,0.246,0.602,0.745,0.2,0.376,0.511
sample_204,0.246,0.607,0.753,0.19,0.381,0.511
sample_205,0.246,0.612,0.77,0.193,0.43,0.507
sample_206,0.246,0.615,0.775,0.203,0.402,0.51
sample_207,0.246,0.618,0.769,0.198,0.398,0.516
sample_208,0.246,0.626,0.757,0.194,0.403,0.51
sample_209,0.246,0.632,0.76,0.197,0.407,0.504
sample_210,0.246,0.633,0.776,0.2,0.425,0.502
sample_211,0.246,0.637,0.779,0.2,0.405,0.505
sample_212,0.246,0.637,0.784,0.198,0.402,0.503
sample_213,0.246,0.63,0.785,0.199,0.402,0.5
sample_214,0.246,0.624,0.771,0.197,0.384,0.502
sample_215,0.246,0.623,0.769,0.199,0.409,0.504
sample_216,0.246,0.625,0.761,0.197,0.408,0.51
sample_217,0.246,0.623,0.754,0.192,0.415,0.511
sample_218,0.246,0.62,0.77,0.186,0.401,0.509
sample_219,0.246,0.621,0.769,0.174,0.399,0.512
sample_220,0.246,0.625,0.783,0.176,0.432,0.507
sample_221,0.197,0.628,0.788,0.173,0.388,0.506
sample_222,0.197,0.628,0.765,0.173,0.39,0.509
sample_223,0.197,0.625,0.766,0.181,0.368,0.511
sample_224,0.197,0.627,0.77,0.18,0.376,0.513
sample_225,0.197,0.635,0.768,0.183,0.439,0.508
sample_226,0.197,0.64,0.771,0.187,0.4,0.504
sample_227,0.197,0.641,0.766,0.192,0.4,0.505
sample_228,0.197,0.642,0.769,0.196,0.374,0.508
sample_229,0.197,0.645,0.756,0.198,0.361,0.509
sample_230,0.197,0.65,0.753,0.198,0.433,0.506
sample_231,0.197,0.653,0.766,0.2,0.42,0.504
sample_232,0.197,0.654,0.765,0.2,0.413,0.509
sample_233,0.197,0.657,0.777,0.209,0.397,0.507
sample_234,0.197,0.656,0.771,0.212,0.409,0.505
sample_235,0.197,0.654,0.766,0.214,0.449,0.504
sample_236,0.197,0.649,0.764,0.225,0.389,0.503
sample_237,0.197,0.647,0.753,0.226,0.376,0.51
sample_238,0.197,0.651,0.759,0.219,0.39,0.51
sample_239,0.197,0.658,0.767,0.221,0.402,0.504
sample_240,0.197,0.663,0.767,0.233,0.421,0.503
sample_241,0.132,0.663,0.773,0.243,0.395,0.501
sample_242,0.132,0.664,0.776,0.246,0.405,0.503
sample_243,0.132,0.663,0.767,0.249,0.361,0.509
sample_244,0.132,0.658,0.761,0.255,0.365,0.508
sample_245,0.132,0.657,0.768,0.26,0.421,0.504
sample_246,0.132,0.659,0.761,0.266,0.4,0.509
sample_247,0.132,0.659,0.756,0.267,0.41,0.516
sample_248,0.132,0.656,0.769,0.267,0.354,0.509
sample_249,0.132,0.653,0.764,0.27,0.351,0.508
sample_250,0.132,0.65,0.753,0.275,0.431,0.51
sample_251,0.132,0.645,0.769,0.276,0.426,0.505
sample_252,0.132,0.64,0.784,0.271,0.416,0.502
sample_253,0.132,0.635,0.776,0.267,0.373,0.508
sample_254,0.132,0.632,0.773,0.264,0.379,0.511
sample_255,0.132,0.636,0.77,0.266,0.432,0.512
sample_256,0.132,0.639,0.772,0.264,0.435,0.509
sample_257,0.132,0.64,0.766,0.26,0.453,0.511
sample_258,0.132,0.64,0.756,0.262,0.448,0.512
sample_259,0.132,0.642,0.762,0.264,0.425,0.509
sample_260,0.132,0.646,0.76,0.269,0.43,0.507
sample_261,0.138,0.649,0.766,0.267,0.404,0.504
sample_262,0.138,0.653,0.758,0.277,0.364,0.506
sample_263,0.138,0.658,0.753,0.296,0.359,0.504
sample_264,0.138,0.663,0.759,0.305,0.394,0.501
sample_265,0.138,0.664,0.766,0.309,0.44,0.501
sample_266,0.138,0.664,0.777,0.306,0.418,0.502
sample_267,0.138,0.662,0.762,0.306,0.395,0.507
sample_268,0.138,0.658,0.764,0.31,0.385,0.507
sample_269,0.138,0.653,0.766,0.314,0.37,0.51
sample_270,0.138,0.65,0.759,0.315,0.382,0.514
sample_271,0.138,0.649,0.777,0.313,0.402,0.51
sample_272,0.138,0.65,0.779,0.31,0.408,0.507
sample_273,0.138,0.65,0.769,0.304,0.403,0.507
sample_274,0.138,0.65,0.761,0.297,0.419,0.51
sample_275,0.138,0.649,0.776,0.293,0.429,0.508
sample_276,0.138,0.646,0.783,0.292,0.443,0.506
sample_277,0.138,0.646,0.783,0.299,0.42,0.501
sample_278,0.138,0.649,0.766,0.305,0.404,0.501
sample_279,0.138,0.651,0.762,0.301,0.388,0.501
sample_280,0.138,0.65,0.772,0.301,0.374,0.507
sample_281,0.153,0.649,0.765,0.315,0.401,0.511
sample_282,0.153,0.649,0.771,0.323,0.448,0.507
sample_283,0.153,0.65,0.767,0.327,0.455,0.507
sample_284,0.153,0.653,0.768,0.333,0.425,0.503
sample_285,0.153,0.656,0.771,0.338,0.362,0.503
sample_286,0.153,0.66,0.753,0.336,0.325,0.512
sample_287,0.153,0.662,0.747,0.342,0.382,0.516
sample_288,0.153,0.665,0.764,0.352,0.446,0.513
sample_289,0.153,0.668,0.765,0.352,0.448,0.514
sample_290,0.153,0.667,0.77,0.357,0.405,0.51
sample_291,0.153,0.666,0.783,0.353,0.379,0.502
sample_292,0.153,0.664,0.78,0.341,0.391,0.506
sample_293,0.153,0.662,0.762,0.34,0.391,0.512
sample_294,0.153,0.662,0.764,0.332,0.376,0.512
sample_295,0.153,0.66,0.766,0.32,0.397,0.511
sample_296,0.153,0.661,0.78,0.32,0.394,0.505
sample_297,0.153,0.663,0.784,0.323,0.375,0.502
sample_298,0.153,0.662,0.767,0.319,0.422,0.507
sample_299,0.153,0.661,0.757,0.321,0.399,0.513
sample_300,0.153,0.661,0.779,0.319,0.395,0.505
sample_301,0.181,0.662,0.784,0.316,0.438,0.503
sample_302,0.181,0.663,0.777,0.323,0.403,0.505
sample_303,0.181,0.663,0.775,0.32,0.395,0.507
sample_304,0.181,0.665,0.77,0.312,0.37,0.513
sample_305,0.181,0.666,0.762,0.313,0.402,0.514
sample_306,0.181,0.665,0.746,0.318,0.46,0.51
sample_307,0.181,0.666,0.759,0.313,0.373,0.504
sample_308,0.181,0.669,0.757,0.312,0.359,0.506
sample_309,0.181,0.672,0.761,0.316,0.394,0.502
sample_310,0.181,0.676,0.781,0.316,0.393,0.499
sample_311,0.181,0.678,0.774,0.32,0.398,0.507
sample_312,0.181,0.679,0.757,0.328,0.39,0.515
sample_313,0.181,0.68,0.751,0.33,0.413,0.514
sample_314,0.181,0.678,0.748,0.319,0.389,0.515
sample_315,0.181,0.672,0.756,0.307,0.355,0.517
sample_316,0.181,0.67,0.771,0.308,0.384,0.512
sample_317,0.181,0.669,0.782,0.295,0.403,0.507
sample_318,0.181,0.669,0.761,0.275,0.439,0.512
sample_319,0.181,0.671,0.751,0.265,0.504,0.517
sample_320,0.181,0.672,0.773,0.251,0.473,0.516
sample_321,0.243,0.671,0.774,0.257,0.397,0.51
sample_322,0.243,0.671,0.76,0.27,0.339,0.508
sample_323,0.243,0.673,0.752,0.274,0.337,0.505
sample_324,0.243,0.673,0.755,0.288,0.389,0.504
sample_325,0.243,0.672,0.775,0.299,0.434,0.504
sample_326,0.243,0.67,0.784,0.311,0.436,0.502
sample_327,0.243,0.669,0.764,0.32,0.449,0.503
sample_328,0.243,0.671,0.756,0.313,0.435,0.505
sample_329,0.243,0.674,0.753,0.305,0.378,0.507
sample_330,0.243,0.673,0.765,0.311,0.41,0.502
sample_331,0.243,0.675,0.772,0.305,0.437,0.504
sample_332,0.243,0.677,0.774,0.299,0.431,0.504
sample_333,0.243,0.675,0.772,0.307,0.394,0.504
sample_334,0.243,0.675,0.759,0.319,0.389,0.505
sample_335,0.243,0.676,0.754,0.322,0.396,0.507
sample_336,0.243,0.676,0.76,0.317,0.379,0.514
sample_337,0.243,0.673,0.771,0.318,0.425,0.513
sample_338,0.243,0.674,0.769,0.327,0.416,0.509
sample_339,0.243,0.678,0.773,0.332,0.409,0.502
sample_340,0.243,0.678,0.769,0.333,0.434,0.506
sample_341,0.154,0.679,0.771,0.336,0.417,0.51
sample_342,0.154,0.679,0.767,0.342,0.404,0.51
sample_343,0.154,0.682,0.761,0.341,0.379,0.508
sample_344,0.154,0.685,0.754,0.341,0.379,0.507
sample_345,0.154,0.685,0.744,0.338,0.391,0.513
sample_346,0.154,0.683,0.762,0.346,0.396,0.508
sample_347,0.154,0.681,0.781,0.356,0.397,0.503
sample_348,0.154,0.682,0.791,0.352,0.396,0.502
sample_349,0.154,0.681,0.777,0.35,0.426,0.506
sample_350,0.154,0.679,0.773,0.357,0.437,0.507
sample_351,0.154,0.677,0.779,0.354,0.419,0.505
sample_352,0.154,0.678,0.781,0.348,0.425,0.506
sample_353,0.154,0.68,0.777,0.351,0.39,0.507
sample_354,0.154,0.679,0.774,0.352,0.382,0.504
sample_355,0.154,0.677,0.767,0.35,0.433,0.507
sample_356,0.154,0.676,0.776,0.345,0.429,0.506
sample_357,0.154,0.675,0.778,0.354,0.405,0.506
sample_358,0.154,0.677,0.763,0.356,0.388,0.512
sample_359,0.154,0.681,0.779,0.35,0.397,0.505
sample_360,0.154,0.682,0.776,0.361,0.372,0.501
sample_361,0.153,0.68,0.767,0.369,0.377,0.498
sample_362,0.153,0.68,0.783,0.371,0.4,0.495
sample_363,0.153,0.683,0.774,0.375,0.392,0.497
sample_364,0.153,0.684,0.767,0.37,0.421,0.502
sample_365,0.153,0.684,0.772,0.366,0.434,0.508
sample_366,0.153,0.685,0.768,0.374,0.421,0.504
sample_367,0.153,0.674,0.782,0.375,0.401,0.501
sample_368,0.153,0.651,0.782,0.369,0.365,0.51
sample_369,0.153,0.63,0.786,0.367,0.381,0.511
sample_370,0.153,0.612,0.783,0.362,0.408,0.512
sample_371,0.153,0.596,0.782,0.34,0.392,0.512
sample_372,0.153,0.582,0.784,0.305,0.39,0.511
sample_373,0.153,0.568,0.772,0.277,0.38,0.518
sample_374,0.153,0.557,0.775,0.248,0.417,0.507
sample_375,0.153,0.554,0.766,0.222,0.423,0.508
sample_376,0.153,0.554,0.768,0.199,0.378,0.517
sample_377,0.153,0.555,0.773,0.178,0.391,0.51
sample_378,0.153,0.49,0.753,0.161,0.39,0.516
sample_379,0.153,0.37,0.662,0.141,0.416,0.518
sample_380,0.153,0.322,0.549,0.123,0.41,0.513
sample_381,0.497,0.324,0.541,0.0999,0.41,0.51
sample_382,0.497,0.323,0.534,0.0787,0.435,0.511
sample_383,0.497,0.316,0.531,0.0648,0.381,0.513
sample_384,0.497,0.311,0.528,0.058,0.394,0.51
sample_385,0.497,0.261,0.418,0.0624,0.412,0.52
sample_386,0.497,0.201,0.309,0.0614,0.409,0.526
sample_387,0.497,0.203,0.285,0.0641,0.431,0.514
sample_388,0.497,0.207,0.263,0.0811,0.388,0.511
sample_389,0.497,0.209,0.277,0.105,0.362,0.507
sample_390,0.497,0.21,0.265,0.122,0.44,0.508
sample_391,0.497,0.213,0.26,0.145,0.465,0.503
sample_392,0.497,0.225,0.263,0.169,0.448,0.5
sample_393,0.497,0.302,0.289,0.186,0.393,0.488
sample_394,0.497,0.461,0.382,0.212,0.398,0.47
sample_395,0.497,0.573,0.449,0.279,0.427,0.474
sample_396,0.497,0.654,0.501,0.376,0.358,0.474
sample_397,0.497,0.723,0.562,0.447,0.395,0.476
sample_398,0.497,0.726,0.584,0.488,0.448,0.487
sample_399,0.497,0.806,0.678,0.528,0.451,0.477
sample_400,0.497,0.922,0.776,0.567,0.457,0.468
sample_401,0.0101,0.946,0.801,0.596,0.442,0.479
sample_402,0.0101,0.938,0.834,0.622,0.417,0.489
sample_403,0.0101,0.922,0.859,0.632,0.392,0.497
sample_404,0.0101,0.902,0.841,0.632,0.388,0.505
sample_405,0.0101,0.884,0.84,0.621,0.398,0.515
sample_406,0.0101,0.875,0.849,0.603,0.419,0.521
sample_407,0.0101,0.873,0.832,0.59,0.438,0.524
sample_408,0.0101,0.873,0.836,0.582,0.413,0.525
sample_409,0.0101,0.875,0.857,0.575,0.397,0.513
sample_410,0.0101,0.876,0.867,0.575,0.415,0.503
sample_411,0.0101,0.877,0.858,0.588,0.394,0.505
sample_412,0.0101,0.877,0.853,0.595,0.392,0.503
sample_413,0.0101,0.877,0.854,0.589,0.419,0.499
sample_414,0.0101,0.874,0.852,0.585,0.397,0.502
sample_415,0.0101,0.871,0.854,0.589,0.403,0.503
sample_416,0.0101,0.873,0.859,0.599,0.388,0.5
sample_417,0.0101,0.874,0.847,0.594,0.379,0.507
sample_418,0.0101,0.875,0.851,0.587,0.398,0.507
sample_419,0.0101,0.874,0.854,0.596,0.367,0.509
sample_420,0.0101,0.874,0.843,0.596,0.385,0.513
sample_421,0.162,0.876,0.837,0.591,0.397,0.511
sample_422,0.162,0.874,0.846,0.598,0.394,0.508
sample_423,0.162,0.868,0.855,0.592,0.399,0.505
sample_424,0.162,0.861,0.864,0.585,0.368,0.503
sample_425,0.162,0.85,0.863,0.585,0.383,0.507
sample_426,0.162,0.845,0.872,0.579,0.424,0.503
sample_427,0.162,0.846,0.866,0.569,0.432,0.502
sample_428,0.162,0.846,0.853,0.55,0.416,0.509
sample_429,0.162,0.847,0.851,0.538,0.389,0.508
sample_430,0.162,0.844,0.84,0.543,0.391,0.514
sample_431,0.162,0.837,0.847,0.542,0.4,0.517
sample_432,0.162,0.833,0.855,0.531,0.383,0.511
sample_433,0.162,0.83,0.855,0.526,0.41,0.506
sample_434,0.162,0.828,0.854,0.522,0.429,0.507
sample_435,0.162,0.831,0.867,0.517,0.422,0.5
sample_436,0.162,0.834,0.855,0.513,0.4,0.5
sample_437,0.162,0.837,0.846,0.511,0.394,0.507
sample_438,0.162,0.834,0.853,0.509,0.422,0.506
sample_439,0.162,0.83,0.851,0.508,0.397,0.51
sample_440,0.162,0.83,0.846,0.507,0.418,0.509
sample_441,0.204,0.83,0.85,0.504,0.48,0.504
sample_442,0.204,0.829,0.846,0.505,0.465,0.508
sample_443,0.204,0.833,0.838,0.505,0.447,0.513
sample_444,0.204,0.837,0.852,0.505,0.435,0.51
sample_445,0.204,0.843,0.848,0.504,0.418,0.511
sample_446,0.204,0.846,0.844,0.502,0.412,0.511
sample_447,0.204,0.847,0.854,0.501,0.395,0.506
sample_448,0.204,0.851,0.858,0.509,0.383,0.501
sample_449,0.204,0.855,0.849,0.517,0.428,0.503
sample_450,0.204,0.86,0.845,0.517,0.447,0.506
sample_451,0.204,0.861,0.858,0.518,0.418,0.501
sample_452,0.204,0.864,0.864,0.521,0.392,0.496
sample_453,0.204,0.873,0.852,0.521,0.387,0.502
sample_454,0.204,0.879,0.845,0.516,0.434,0.506
sample_455,0.204,0.881,0.848,0.523,0.453,0.503
sample_456,0.204,0.879,0.84,0.538,0.453,0.504
sample_457,0.204,0.881,0.85,0.544,0.451,0.503
sample_458,0.204,0.884,0.856,0.545,0.441,0.5
sample_459,0.204,0.887,0.856,0.547,0.466,0.502
sample_460,0.204,0.894,0.864,0.548,0.413,0.507
sample_461,0.122,0.899,0.864,0.555,0.345,0.507
sample_462,0.122,0.899,0.854,0.568,0.384,0.509
sample_463,0.122,0.897,0.858,0.572,0.419,0.508
sample_464,0.122,0.895,0.867,0.573,0.405,0.503
sample_465,0.122,0.895,0.856,0.585,0.393,0.502
sample_466,0.122,0.893,0.855,0.586,0.376,0.501
sample_467,0.122,0.886,0.86,0.579,0.371,0.5
sample_468,0.122,0.88,0.862,0.58,0.391,0.502
sample_469,0.122,0.88,0.859,0.578,0.383,0.507
sample_470,0.122,0.883,0.859,0.563,0.383,0.509
sample_471,0.122,0.887,0.868,0.559,0.396,0.504
sample_472,0.122,0.892,0.859,0.558,0.38,0.505
sample_473,0.122,0.895,0.836,0.567,0.371,0.513
sample_474,0.122,0.876,0.848,0.573,0.411,0.51
sample_475,0.122,0.846,0.865,0.569,0.413,0.507
sample_476,0.122,0.82,0.855,0.577,0.384,0.518
sample_477,0.122,0.805,0.854,0.556,0.367,0.521
sample_478,0.122,0.809,0.857,0.507,0.362,0.522
sample_479,0.122,0.824,0.854,0.483,0.395,0.516
sample_480,0.122,0.844,0.859,0.475,0.416,0.507
